今日の夕方に実家に帰るよ(･∀･)♪  暇だけどね(笑)
@lalalasbc 地元だけど食べたことない(´・ω・`)
@lalalasbc ソースカツ丼美味しそう～(*´ω｀*)
@lalalasbc 福田屋さんでた～！！
@lalalasbc 食べたいっす(*´ω｀*)
@lalalasbc 懐かしいおもちゃがいっぱいですね(=^ェ^=)
@lalalasbc 駄菓子も懐かしい＼(^^)／
寝れないよ～(´・ω・`)
やっぱり花粉症なのかな～？？  鼻水が出るよ(´・ω・`)
最近イライラが半端なくてほぼ毎日晩酌してるし。  飲まなきゃやってられないっす(´・ω・`)  これからビール飲もうかな～
今日は１日出かけて疲れてるはずなのに寝れない(´・ω・｀)  ビールも飲んだのにな。
暇だな～(´・ω・｀)  何しようか。
今日は楽しかったぜヽ(・∀・)ノ  29日も家族みんなでお出かけだ～♡
家のほう帰ってきたら雪降ってるし(´Д｀)
４月なのに雪降ってるし(´Д｀)  寒いわけだよね。
肌荒れとかヤバすぎる(´・ω・｀)  ヒリヒリするし。
早く起きすぎた(笑)  何しようかな(´・ω・｀)
なんで寝れないんだろ(´・ω・｀)  今日の夜は友達と飲み会かも～♡
@lalalasbc 菜の花オイルって初めて聞いたかもヽ(・∀・)ノ
@lalalasbc お肉食べたい(･∀･)♥
@lalalasbc 箕輪町でリベンジ頑張って＼(*⌒0⌒)♪
@lalalasbc とんかつ食べたいっす(´-ω-`)
@lalalasbc でかすぎでしょ～！！
@lalalasbc うわ～食べたい♡♥
@lalalasbc 上田だったらよく行くよ～(*´∀｀*)
@lalalasbc ご飯交渉成功しますように(*≧∀≦*)
@lalalasbc ケーキ食べた～いヽ(・∀・)ノ
@lalalasbc 飯山でパッションフルーツってすごくない？？
@lalalasbc 昔やったから懐かしい(*´∀｀*)
@lalalasbc 信州そば食べたい(*≧∀≦*)
@lalalasbc おいしそうヾ(＠⌒ー⌒＠)ノ
@lalalasbc まぢで食べたくなってきた(･∀･)♥
@lalalasbc 油地獄って…(笑)
@lalalasbc 金のトイレ出た～ヽ(・∀・)ノ
@lalalasbc 自家製野菜いいね(*´∀｀*)
@lalalasbc 素敵なバックですね～(*´∀｀*)
体中がベタベタして寝れないよからシャワー浴びてきた♡  でも５ヶ所も蚊に刺されてかゆくて寝れないよ～(´・ω・｀)
@lalalasbc 日曜日に小海町行ったよーヽ(・∀・)ノ
寝れなくて暇だな(´-ω-`)  明日は予定ないし朝ゆっくり寝れるからいいかー！
そろそろ寝るかな(´-ω-`)  でもらいきがベッド占領してる(笑)  どうしよー！
寝れない(´・ω・｀)  はやく機種変したーい。
今日もまだ寝れない(´･_･`)
花粉症つらたーん(´･_･`)  鼻水が透明だと花粉症なんだって！
今日はチーズケーキ作るぞー！
イライラするー！  息子ちゃんやっと寝てくれたわ(-_-)zzz  息子ちゃんが寝てる間にやることやっちゃいますかね。
息子ちゃんが寝てる間に夕飯のおかず１品だけ作ったー！  あとはまた後で夕飯の準備するときに作るから時間までゆっくりしようかな(*^^*)
@ki3yo1ta8ka  イライラー？
@ki3yo1ta8ka  女の子前だからめっちゃイライラするんだよー！らいきが言うこと聞かないから怒鳴っちゃったし(´；ω；｀)
@ki3yo1ta8ka  らいきも今ちょうど自分でやりたいのとイヤイヤ期がちょっと重なっててさ(´・ω・｀)
@ki3yo1ta8ka  本当にね。今日はらいきに怒鳴っちゃったから反省する日だわσ(^_^;)
@ki3yo1ta8ka  泣いてたよ〜(´；Д；｀)お菓子も与えすぎて食べたい食べたいってなってあたしもらいきも食べちゃうから買わないようにしよう！
@ki3yo1ta8ka  ヨーグルトも３連になってるやつがあるとその日に全部食べちゃうからね（笑）
@ki3yo1ta8ka  ヨーグルトも買わないことにしよう（笑）あたしも出来るだけお菓子を買わない＆食べない！絶対食べないってなるとストレスも溜まるしどか食いしそうだから出来る範囲でね(^_^)
@ki3yo1ta8ka  夕飯のとき炭水化物抜いてる？
@ki3yo1ta8ka  あたしも少なめにしてるけど抜けない(´；Д；｀)
@ki3yo1ta8ka  今日まだ体重測ってないから測ってくるー！
@ki3yo1ta8ka  0.6g増だったー（笑）お茶の効果あればいいよね(´-ω-｀)
@ki3yo1ta8ka  でも前よりは太らなくなったかなー！今は体重がそんなに増えたりしないでキープ出来てるんだよね(*≧ｍ≦)
@ki3yo1ta8ka  あたしのダイエット目標は今年中にゆるーくながーくゆっくり自分のペースでやること♥︎
実家から帰宅〜ヽ(・∀・)ﾉ  息子ちゃんは疲れて寝てるからあたしもゆっくりしようかな♡
若里のファミマなうヽ(・∀・)ﾉ  早く来ないかなー！
雪がすごい降ってきたー！  夜公民館に行かなきゃなのに夜まで降ってたら結構積もるよね(-ω-；)
久しぶりにペヤング焼きそば食べたー！  美味しかったです(*≧艸≦)
おはよう(´・∀・｀)  今日はいつも通りなかよし広場行って遊んで午後は実家にデジカメ取りに行ってヤマダ電機寄って帰って来るコース♡  １日頑張りますかねー！
女の子の日になってツラたん(´･_･`)
実母とらいきと渋温泉なう！
異性とチョコレートをめぐるトークが楽しめる！誰でも安全にモテモテ体験できるLINE風恋愛ゲーム「返信ください〜バレンタイン〜」 #motelife https://t.co/DrkGerRQMr
家に帰ってきたー！  らいきは寝てるから片付けしたりしよう(´・∀・｀)
部屋の掃除したー！  天気もいいから気持ちいいな(´・∀・｀)
私の彼氏、今こんな感じ！ 【ステルス彼女】 #apptama https://t.co/L8OXsKHQ0H http://t.co/bFBVNv7Af0
花粉症のせいなのか目がかゆい(´･_･`)
明後日から１週間ほど実家にお泊りだから明日は準備したりしようかな(´・∀・｀)
おはよう(*^^*)  今日は増税前だからガソリン入れたり旦那の誕生日プレゼント買ったり出かけます！
@ki3yo1ta8ka タバコだよー（笑）
花粉症のせいなのか目がかゆくて泣いてないのに涙が出てくる(´･_･`)  寝れないよー！
外で洗濯物干したら目がかゆくてヤバい(´；ω；｀)
@lalalasbc スイーツ食べたい(●´ー｀●)
今日の夜は家族で上越高田の夜桜を見に行ってきたー！  満開でちょうど満月だったからめっちゃ綺麗だったよ♡  屋台でもいっぱい食べたヽ(・∀・)ﾉ http://t.co/njmQa5d2wz
今日は義母の誕生日だからチラシ寿司にする予定ー！  チラシ寿司なら息子ちゃんもいっぱい食べてくれるかな(´・ω・｀)
来輝さんいつもより早めにお昼寝タイム入ったからこれからやることやっちゃおう(´∀｀)♡
明日の夕飯は生姜焼きにしようと思ったら旦那飲み会でいないぢゃん(*´･_･｀)
旦那が会社の飲み会で終電で帰ってくるから駅まで迎えに行かなきゃー！  あたしも眠いし来輝も眠くて寝ちゃいそう(´･_･`)
今日ゴミ捨てがあったから５時半に起きたー！
@lalalasbc ジャイアントステーキすごい！！
@lalalasbc オムライス食べたい♡
@lalalasbc レバニラ食べたい♡
@lalalasbc おいしそーヽ(・∀・)ﾉ
@lalalasbc 英語まったくしゃべれない(´；ω；｀)
@lalalasbc 大黒さん行ってみたいヽ(・∀・)ﾉ
圧力鍋で鶏肉チャーシュー仕込み中(´∀｀)♥︎  上手く出来るかなー？ついでに煮玉子も！
いいことだけど早起きしてしまった。  パパと来輝はまだ寝てるよー！
友達と息子ちゃんとサイゼリヤなう♡  久しぶりに美味しかったー！
明日の朝早いからそろそろ寝なきゃ(´･_･`)
mixi開いてみたら機能が変わってる(´・∀・｀)
検診なうなうー！
中野のゲオなうー！  雨降ってきちゃったよ(´・ω・｀)
早く起きちゃったー！  今日は何しようかな(´・∀・｀)
車のオイル交換なうー！  帰ったら少し休憩しようかな(´・∀・｀)
あやと来輝とココスなうヾ(´・∀・)ﾉ
来輝と買い物行くと疲れる(´･_･`)買い物カート押したがり押しながら暴走するし結局カートそっちのけで１人で走り回るし追いかけるのも疲れる。妊娠中だし言うこと聞かないからイライラして怒っちゃったりいけないのは分かってるけど抑えられない(´；д；｀)
今日は１人でゆっくりお風呂に入ろー！
今日疲れたはずなのに寝れない(´；д；｀)
おはよー！昨日の夜寝れなかったわりに早く起きちゃった(´・ω・｀)
今日は妊娠16週と3日。 #出産予定日
お盆中はずっと雨だったのに昨日と今日は暑くなった(´-ω-｀)早く性別分からないかなー？
今日は妊娠18週と0日。 #出産予定日
今日は来輝が４回もトイレでおしっこ成功したからあたしもいい気分だよ(´・∀・｀)漏らされるの覚悟で直接布パンツ履かせてるけど今日はまだ１回も漏らされてないぞー！
寝れないなう(*´･_･｀)
妊婦健診なうヾ(´・∀・)ﾉ
今日は妊娠19週と0日。 #出産予定日
美容院なーう！  これからサッパリします♡
キティと一緒におさんぽしながらダイエット！消費カロリーがわかる魔法のアプリ-おさんぽハローキティ- http://t.co/gL7ukdmenG #おさんぽハローキティ
今日は妊娠19週と6日。 #出産予定日
今日は妊娠20週と0日。 #出産予定日
やっぱりコーヒー飲んだら寝れない(´・ω・｀)
http://t.co/XDgBBWQ2St  公民館の滑り台で遊んでます(*^^*)天気がいいけど暑いよー！
外で遊んだからか２時からお昼寝してるヾ(´・∀・)ﾉ
今日は妊娠21週と0日。 #出産予定日
おはよー！今日からお腹の赤ちゃんは22週目入った&amp;#9825;毎日元気にポコポコ動いてるし順調です(´・∀・｀)次の健診で性別分かるかなー？
今日は妊娠22週と1日。 #出産予定日
寝れないなう( ´•௰•`)明日朝早いのにー！
キティと一緒におさんぽしながらダイエット！消費カロリーがわかる魔法のアプリ-おさんぽハローキティ- http://t.co/gL7ukdmenG #おさんぽハローキティ
１ヶ月ぶりの健診なう(♡´艸`)
１ヶ月ぶりの健診行ってきたー！２人目も男の子だった(*´&amp;#32594;`*)
RT @guru99_ntv: ③ 《注意事項》当選者の方には番組からツイッターのダイレクトメッセージ（DM）でご連絡致します ※公式アカウントをフォローされていないとDMできません また番組公式アカウントからのツイートでアカウント名を紹介させて頂く事があります。あらかじめご了…
@guru99_ntv 長瀬智也
長瀬智也#ぐるナイ
平井理央#ぐるナイ
今日はコーヒー飲んだから寝れないな( ¯•ω•¯ )
今日はコーヒー飲んでないし少し寝不足だから寝れるかな？  コーヒー飲んだら寝れないとか子供みたい(´･･`)
おはよー！出産予定日まであとジャスト100日になりました＼(^^)／  上の子がいると毎日が早いしもう妊娠７ヶ月だよ。  天気がいい日に赤ちゃんの肌着を水通ししなきゃな( ´•௰•`)
【速報】上戸彩のフェラ キッチンSEX 濡れ場映画の独占公開キタ━━(゜∀゜)━━!! 昼顔の映画化ほぼ決定！？  映画の内容はこちら⇒http://t.co/ZRpgxaRphB  ドラマでは描かれなかったR18版が♡ http://t.co/yuFC8qpllQ
来輝が風邪ひいたから病院行ってきて粉薬もらったんだけど全然飲んでくれなくて悪戦苦闘してる(´°ω°`)&amp;#8623;&amp;#8623;粉薬飲んでくれるいい方法があったら誰か教えてー！
@lalalasbc 地元だー！
@lalalasbc お父さんの知り合いがやってるお店だよ＼(^^)／
@lalalasbc 食べたい！！
@lalalasbc 有賀さんだー！
@lalalasbc チャーシューが美味しいんだよね(´•ω•｀)♡
@lalalasbc 食べに行かなきゃー！
@lalalasbc 寒くなってきたからラーメン食べたい！
@lalalasbc 美味しそー！！
@lalalasbc 焼きそばも食べたい！
@lalalasbc 絶対行くー！
@lalalasbc だい１位はー？
@lalalasbc ケーキ美味しそう＼(^^)／
@lalalasbc 金粉だー！
@lalalasbc 抹茶がいいなー！
@lalalasbc 今度行ってみよう＼(^^)／
@lalalasbc おいしい広場よく行きます(^^)
@lalalasbc お蕎麦もいいですね(*´﹃｀*)
@lalalasbc 食べたいものばかり出てくるー！
@lalalasbc 食べたい
@lalalasbc 食べたいよー！
どうしたら信じられるのかな(´•ω•̥`)
パパのせいであたしも早くめがさめちゃったー！何しよう( ¯•ω•¯ )
こんな時間に目が覚めちゃった( •́ .̫ •̀ )
あれからまた少し寝たけどやっぱり目が覚めました( ¯•ω•¯ )ご飯食べて準備したら買い物行って自宅に帰ろうかなー！
胸焼けがして気持ち悪くて目が覚めたー！パパはまだ帰って来ない(｡•́︿•̀｡)
パパが帰って来たヽ(｡･ω･｡)ﾉ
寒いからモコモコ靴下履いたーヽ(｡･ω･｡)ﾉ
また胸焼けして寝れない(´×ω×`)
コーンスープ美味しい(*´﹃｀*)
今日は気持ち悪くなる前に寝ようかな( ´•௰•`)
もう信じられない。
言うこと聞いてくれなくてイライラMAXだわ(ꐦ°᷄д°᷅)
今日もお鍋にしたー！手抜きバンザイ＼(^^)／
今日は寒いねー！暖かくして寝よう(๑´ω`๑)
眠いのに気持ち悪くて寝れない(´•̥  ̯ •̥`)
気持ち悪くて目が覚めたー！これは産まれるまで続くのかな(´×ω×`)
いつもだったらまた寝るんだけど今日は寝れないな(｡´•ㅅ•｡)
また目が覚めちゃった(( •᷄⌓•᷅ )੨੨
寝ようと思ったのに気持ち悪くなってきた( ¯•ω•¯ )
またまた気持ち悪くて目が覚めちゃった(´•ω•̥`)
言うこと聞いてくれなくてイライラMAXなう(ꐦ°᷄д°᷅)
毎日毎日気持ち悪くて寝れない(∩´﹏`∩)横になると気持ち悪くなるから起きてないとダメみたい。
今日は食べ過ぎちゃったから胸焼けしてる(´°ω°`)↯↯
今日は気持ち悪くて寝れない(´°ω°`)↯↯
胸焼けするからあたしの夕飯はうどんにしようっと(｡´•ㅅ•｡)  消化にいいもの食べたら少しは胸焼けしないかなー？
言うこと聞かなくてイライラするわ(ꐦ°᷄д°᷅)
気持ち悪くて寝れないよー！
気持ち悪くなって起きちゃった(´•̥  ̯ •̥`)
来輝とDVD見てたらもうお昼だー！
これからおやつタイム＼(^^)／いただきます♡
【処女喪失確定！！】 桐谷美玲の過激セッ〇ス映像、遂に流出 「これAVより抜けるｗｗ」  詳細を見る→http://t.co/s9NiirF45i   これはやばいでしょw http://t.co/oV0W3ZQ2Kv
今日は胸焼けとか大丈夫だけど寝れない( ¯•ω•¯ )
実母に来輝のスキー一式買ってもらった(´•ω•｀)♡
せっかく頑張って起きてたのに意味ないぢゃん(´-ω-｀)雪が降ってる中行かなくて良かったけど。
RT @akiko_lawson: ローソンからのクリスマスプレゼントが当たるかも！？クリスマスは黄金チキンリツイートキャンペーン♪@akiko_lawson をフォロー、この投稿をリツイートしてね♪ #黄金チキン http://t.co/cTZ6N60OOe http://t…
宅配便来ないよー！
健診なうなう＼(^^)／でもいつになったら産まれるのー？
産まれる気配はまだない(´･×･`)いつになったら出てくるんだー？
健診に行ってきたけどまだみたい。ビックベイビーだから早く生まれてほしいなー！やっぱり運動しないとダメかな？
まだ生まれないよ(´°ω°`)↯↯
デコログがおかしいよ(´°ω°`)↯↯
【悲報】 夏目三久アナ悪質な嫌がらせをされるｗｗｗｗｗ 突然『乳首ポロリ』画像が流出ｗｗｗｗｗ  画像を見る⇒http://t.co/5GueApgigF   黒すぎワロタｗ (早く見ないと消されるかも・・・) http://t.co/cQ0jjGZq9e
【動画あり】 深夜に帰宅したら、 母親と友人がヤっていたら！？ どうなったと思う？？  動画→http://t.co/xo0ITPY4he    衝撃の結末…… http://t.co/HhqokoTv9T
出産祝いでマザーズバッグと来輝と蓮ちゃんのお揃いのお洋服もらって嬉しい(´•ω•｀)♡  お揃いの着せるの楽しみー！
６時に起きて蓮にミルクあげてパパのお弁当作れた(♡´艸`)  今日は朝からママ友が来るからやることやっちゃおっとー！
【これ誰だか分かりますか？】  超大物芸能人のスッピン写真なんですが誰だかわかりますか？  分かったら凄いですｗｗｗ  正解はこちら⇒http://t.co/cPVs90X9Kb http://t.co/5dS4RZseBm
【これ誰だか分かりますか？】  超大物芸能人のスッピン写真なんですが誰だかわかりますか？  分かったら凄いですｗｗｗ  正解はこちら⇒http://t.co/cPVs90X9Kb http://t.co/QVCYdInRqp
やっとメール便届いたー！  住所の番地間違えちゃったから届くのに時間かかった( ´•௰•`)
姉ちゃんが来輝連れて出かけてくれたから来輝がいないうちに保育用品の名前付けやっちゃおうかなー！
午後はいらない物売りに行こうかな(｡･ω･｡)
寝れないんだけど( ¯•ω•¯ )もうこのまま起きてるしかないな!!!笑
目が痒いなう(´･ ･`)
もうすぐで来輝のお迎えだー！
夕飯の準備しようかなー！
寝れない寝れない(๑•́ω•̀๑)
今日も暑くなりそうだね(๑•́ω•̀๑)
早く帰ってこーい(๑•́ω•̀๑)
蓮ちゃんに５時に起こされて眠い(。-ω-)zzz
蓮ちゃん眠くてグズグズでミルクタイムなう(*￣m￣)
機種変してからやっとログイン出来たー！
夕飯の支度しようかな(๑´ω`๑)
喉痛くて声ガラガラなんだけど(´･д･`)  イソジン買ってきたからちゃんとうがいしよー！
男って自由過ぎー！  出かけるって言ってんのになんで草刈り行っちゃうかな。  バカヤローヽ(`Д´)ﾉ
まだ喉痛いし咳止まらない(´･_･`)
蓮ちゃんの病院なう(´･д･`)
処方せん待ちー！
また喉痛くなってきた(￣･ω･￣)
最近なかなか寝れない(￣･ω･￣)
もうダメだ。
待ち時間長いわー！  蓮ちゃん寝たからいいけど(•ө•)♡
明日の七夕の集い楽しみ(灬ºωº灬)♡
洗濯物干したり畳んだりしてたら朝から汗だく(´△｀)
なんかいいことかいかな。
蓮ちゃんがまた熱出ちゃった。
次は絶対許さない。
寝れない(￣･ω･￣)
なんかいいことないかな(´△｀)
もうすぐお迎えの時間だー！
なんとかなるかな。
ピンチだー！
なんとかなったわ(´△｀)
またもやピンチです(´・ω・｀)
寝れなーい(´・ω・｀)
蓮ちゃん早く元気になりますように(´･_･`)
リア充はじめました(仮) 真柴 佑司さん(24歳)とデートなう！ #リア充 http://t.co/q7FavRc4ZC http://t.co/eZyotn8WgY
リア充はじめました(仮) 晴海 洋一さん(26歳)とデートなう！ #リア充 http://t.co/XaT426CXB1 http://t.co/f255OJCdyv
リア充はじめました(仮) 葉山 弘樹さん(45歳)とデートなう！ #リア充 http://t.co/K4a1k2RdDo http://t.co/ghtlCNMa2q
リア充はじめました(仮) 四ノ宮 陵さん(20歳)とデートなう！ #リア充 http://t.co/I9NTPagO0X http://t.co/IkDmYMWEEE
リア充はじめました(仮) 小淵沢 光司さん(26歳)とデートなう！ #リア充 http://t.co/x4qacx2Fq1 http://t.co/EyfUrOxv3T
リア充はじめました(仮) 晴海 洋一さん(26歳)と付き合いました！ #リア充 http://t.co/XaT426CXB1 http://t.co/kQHJhuNyjS
リア充はじめました(仮) 四ノ宮 陵さん(20歳)と付き合いました！ #リア充 http://t.co/I9NTPagO0X http://t.co/E4S8PNPJjW
リア充はじめました(仮) 日比谷 誠さん(28歳)とデートなう！ #リア充 http://t.co/8aAadQeg6J http://t.co/BiYsReEpV6
リア充はじめました(仮) 小淵沢 光司さん(26歳)と付き合いました！ #リア充 http://t.co/x4qacx2Fq1 http://t.co/C1Wr9Ke7dB
リア充はじめました(仮) 葉山 弘樹さん(45歳)と付き合いました！ #リア充 http://t.co/K4a1k2RdDo http://t.co/ZDJzIxQqWe
リア充はじめました(仮) 真柴 佑司さん(24歳)と付き合いました！ #リア充 http://t.co/q7FavRc4ZC http://t.co/StQrgleEj6
リア充はじめました(仮) 村山 倫太郎さん(23歳)とデートなう！ #リア充 http://t.co/scc0S6moEn http://t.co/joiV6Co1Mu
寝れない(￣･ω･￣)
就職活動中。やりたい仕事が見つからない(￣･ω･￣)
久しぶりにTwitter開いたわー！
寝れないわん┌┤´ﾟДﾟ`├┐
今日は久しぶりに仕事が早く終わったー！  でも夕飯は手抜き(￣･ω･￣)
カカオトークやってる人いないのー？
@masasan0325 出来たー！
早く起きれる方法教えて(๑´• ₃ •̀๑)
おはよー！蓮ちゃんにおこされた(´･Ω･｀)
明日はれんぴのバースデー(´,,•ω•,,)♡
花粉症って冬でもあるのね。  鼻詰まりがヤバいし目もかゆい(｡•́︿•̀｡)
暇すぎだ(￣･ω･￣)
病院の朝は早いな(´･Ω･｀)
シャワー浴びてサッパリした(*´ч ` *)
退院は明後日ぐらいだってー！
今日も疲れましたわ(´°_°`)
機種変したー！
医療費のことよく分からん( •᷄⌓•᷅ )੨੨
ラブが死んじゃった( ´•̥̥̥ω•̥̥̥` )
今日から仕事だー！
来輝さん咳がつらそう(๑•́ω•̀๑)
立ちっぱなしだから足がパンパン(´･ω･`)
蓮ちゃんが熱っぽいなう(´･ω･`)
左手首痛い(´･×･`)
左手の親指痛めた(´･ ･`)  とりあえずシップ貼った。
市民病院なう(´･×･`)
女子バレーおもしろい＼(^^)／
リオ五輪決まったね(*^ω^*)
気持ち悪い(´･ ･`)
自分よく起きれたなww
今週も市民病院なう(´･×･`)
仲良し兄弟(*･∀･)／♡＼(･∀･*) https://t.co/iJOzH4pVoj
我が家の畑で採れた黄色の小玉すいかー！  美味しく頂きました(●´ω`●) https://t.co/RbWE3MglmE
しまむらで100円でGETしたサングラス♡  イケてるー？(*^ω^*) https://t.co/BAO3g15Kcb
ひと仕事終わったー！  これで明日の朝、楽チンだわ＼(^^)／
我が家に仲間入りー！  ばあちゃんの知り合いの人からもらってほしいと連絡きて前から猫飼いたいなって言っていたばあちゃんがもらってきた♡ https://t.co/uL6Q64yMfl
ドラえもん蓮ちゃん♡ https://t.co/HsSxId0owh
これから仕事だー！
蓮がお兄ちゃん大好きでいつもくっつき虫( ^ω^ )♡ https://t.co/40E0jNGLtC
今日も雨だー！
兄弟で同じ寝方ww https://t.co/dVULgV68bg
まだ寝てるしww
早く起きちゃった(´･ω･`)
おはー！ゴミ捨ての時間に起きれた( ´ ▽ ` )ﾉ
今日も頑張ろー( ´ ▽ ` )ﾉ
今日も頑張りますか( ´ ▽ ` )ﾉ
寝れませーん(´･×･`)
昨日は町民運動会が中止になりパパと子供達と初めてコストコ参戦してきましたー！  コストコで定番のディナーロールを買って今日の朝ご飯で食べたら美味しかったです(*´ω｀*) https://t.co/j1ICvi6qkH
撮るのやだって言ったくせにちゃっかりピースしてる奴ww  今日も安定の兄弟仲良し(´♡ω♡`)/ https://t.co/gK80xmctFj
腰が痛くてヤバい(´･ ･`)
今日は1人でゆっくりしよう( ´ ▽ ` )ﾉ
オカンがメッセでなぞなぞ送ってきてうざい(笑) 「消防車に乗っている動物は何？」 https://t.co/IM2AWRq9dm
ハロウィン蓮ちゃーん(´♡ω♡`)/ https://t.co/6LbJnAzmFo
マイメロディと一緒におでかけダイエット！消費カロリーがわかる秘密のアプリ https://t.co/cIuKsIvNrM #おでかけマイメロディ
今日は貴重な休みー！  朝マックなう(^^)/
寝る時間だー！
やっと寝てくれたー！
金がほしい。
今日はメガネ買った(*^ω^*)
インフルエンザ確定かも（●´・ω・｀）
パパもインフル(´•ω•̥`)
インコスしてきたー！
なんとかやるしかない。
