あか中2年山内彩花です！ フォローよろしくお願いします
女てにお疲れ様です笑 最高に寒かったね😂
@ayapeco0222 準優勝！！ふぁいと👍👍  いろいろと、ありがとね💗
@STRM_0410AB  普通にメスでお腹切るよ✌
3年生の卒業式とか早いよ😭 3年生いなくなるのやだな
@STRM_0410AB  あ、忘れてた(笑) してあげるよん👌
@yuisara78 優衣へのメッセージ💘 これで、なにか感じるか感じないかはあなた次第👐  #は
@zakiyama_shunko  途中で埼玉から引っ越した 山内さん(笑)  さぼちゃんの人
▶▶先輩方◀◀  ご卒業 おめでとうございます😭💟
@maki120711  まきが最高学年😱😱😱
@yuisara78  なんか感じろよ✋ おおおおい(笑)
@maki120711  4月からは、ちゃんと？？？(笑) てことは今まで…
@maki120711  仮の最高学年www それNiceだわ✋
@maki120711  な、なわけ✋  とか言ってみる(笑)
@maki120711  だじゃれをこよなく愛してるから仕方ナッシングううう👍
@zakiyama_shunko  わかった? ?(笑)
今日、せっかくのOFFなのに12時半に起きたことを後悔✋
@zakiyama_shunko  Are you fine??  とか聞いてみる
@zakiyama_shunko  ＼あーゆうーふぁいん／  な(笑)  舜お勉強できないのかな ??
@maki120711  💟💟💟 まきも仲間じゃんか
@zakiyama_shunko  おおお？ばーか(笑)  でも、足確かはやいよね?
@STRM_0410AB  食べ物な✋ それ以外なんなんだよ(笑)
@maki120711  えええ✋ 仲間でいいじゃん
@maki120711  もともと、頭おかしいだろ✋ 何をいっておる笑
@maki120711  正常じゃないからね👐 わたしは、知ってるよ
@zakiyama_shunko  え、うそやん笑  まあ、かっこいいからね
@maki120711  まきなんか、ストーカーする必要ないし✋盗聴器つけてるから大丈夫(真顔  #は
@zakiyama_shunko  なわけ笑 わたしの知ってる舜くんはかっこいいから笑  写真送ってよ✋
@zakiyama_shunko  え、かわゆ笑 DMで送ってちょ👌
@maki120711  まじやめて(笑) じゃあ、家でわたしが鼻歌歌ってたりとか聞こえてるのおおお?
@maki120711   え、そんなことしてないわ✋ まきまさか嘘か?おい
@maki120711  え…無意識！？ わたしきもいわwwwww
@zakiyama_shunko  そういってるのも可愛いな(笑)  じゃあ、lineやってる ? ?
@zakiyama_shunko  じゃあ、line教えてー！
@zakiyama_shunko  じゃあ、どうしようか✋ DMでQR送るね
@maki120711  え、そういうこと言うなよおおお  まぁ、きもいとか愛情の裏返しか👌
@yuisara78  それな(笑) 気づいたらキスしてた的なね(笑)
@maki120711  え、妄想とかしない主義👐  事実だよね？(笑)
@maki120711  はいらないわ✋  成績で言う、思考のところだよ
@yuisara78  あれは、見てて辛い事件(笑) 普通に歩いてるし 転ばないかヒヤヒヤした
@yuisara78  展開よめなくて爆笑だわ(笑) やっぱ、歩いてるのやばいから✋
@maki120711  えええ？そんな憲法あったっけ  とか言ってみるパート2
@yuisara78  そうだね✋ すずちゃん以外のサブキャラは…  #おい
@maki120711  そんなの初耳👌
@yuisara78  引き立て隊✋ それは、ナイスnamingですわ
ﾃｯﾃﾚｰﾝ✨  火曜日遊んでくれる人 誰かいない ? ?  あそぼあそぼ🙋
@yuisara78  あ、さすがポンポンボタンを押したから✋ 何やってんのよ(笑)
@maki120711  そりゃそうだな✋  おおおーい＼＼＼
@lzue_m  えええ✋ がちで遊ぼ(笑)
@lzue_m  OFFなのよ💓 うふふふ(笑)
@maki120711  おー👌 はじめていただきました💓
@yuisara78  なわけ✋ 思い込み激しいな
@yuisara78  あ、そっかそっか👌 納得⤴⤴⤴
@yuisara78  まあなまあな✋✋✋ よく言われるよ
お菓子くれた人Thank You💓  たくさんのお菓子に囲まれて幸せだったわ～🌈  #大袈裟
@jw_momo07   ももちゃんもちょうだいよ👐
@yuisara78  うわーー✋ あなたにおばさんって言われたくないわ笑 ハゲ
ファブリーズ✋  ファブるとかなに(笑) ファボるとほぼ同じやんけ パクリかい👀
@jw_momo07  また、行こうね👌 隣のリア充つらかったな(笑)
@yuisara78   ばばあ=大人  だから、わたしは大人っぽいってことか✋
@yuisara78  回りくどくないな✋ 《ポジティブ思考👀》
@yuisara78  @asami_73114   今日は優衣に死ねって言われたわず。  明日は優衣に何て言われるかなうぃる。  怖いなあー😓
@asami_73114 @yuisara78   ツボとか嬉しいな(笑) 二人ともわたしの顔見たら笑うとか失礼すぎwwww
@yuisara78   おばさん💓 黙ろうかはげ
@yuisara78 @asami_73114   怖い優衣ちゃん😭 お前とか言われたあ
@asami_73114   ミーハー女子ならぬ  ゲーハー女子ならぬ  ゲーマー女子✨
@yuisara78   優衣だってはげでよろこんでるｼﾞｬｰﾝ(笑)
@yuisara78 @asami_73114    みんな、優衣の本性見てびっくりんごだよきっと(笑)  死ねとか友達にいってくるやつwwwwww
@asami_73114  笑えるようになったって 笑えなくていいんだよ！！(笑)
@asami_73114   そうそう👌 わたしとマリオカートやってくれる人募集するわ✨
@jw_momo07   それなﾋﾟｰﾔ   💃
@asami_73114   山内のドリフトな✋ 大会とかあればすぐにエントリーだわ
@yuisara78   よろこんでるやん(笑)  あほーう(笑)
@yuisara78   う、嘘やん👐  『一緒にアホになろうよ←たった10分だけでいい』
@yuisara78   汚れるとかひどいわ✋ やっぱり、名前変えてやるー！ そして、Twitterにのせてやるぜ
@yuisara78  怒らないで (๑•̀ㅂ•́)و✧ っていうわ(笑)
@yuisara78  手遅れとかないから✋ 大丈夫だーい笑
@yuisara78  大丈夫だよ✋ なるようになるさ笑
@yuisara78  優衣が、タイムライン投稿したとき爆笑したwwww
@yuisara78  え、名言風じゃなくて名言なの☜ 優衣には、この違いわかる？
@JSB24eg  それな！！うちも欲しいわwwww 買いに行くー？
@yuisara78  まだ、かえなーい✋ 真の優しい子になったらええよん笑
@yuisara78  見下してないよん笑 質問してみただけだよ♡
@yuisara78  え、え、何て？？笑  なわけやんww
@yuisara78  また、暴言はきやがったな(-_-#)
2-1今日で終わり　!!  1年間ありがとう♬
3年は誰と同じクラスになるかな（笑）  同じクラスになったら仲良くしてくださいԅ(¯﹃¯ԅ)
@yuisara78  いいたくねぇよそんなこと☜ 口が避けても言えない♡
@yuisara78  毎日暴言祭りだろ✋
@ManamiFlower  755👐  三代目にやじコメ返信されてる子に嫉妬しちゃうから  100%複雑な気持ち☜
@ManamiFlower  それが、いれてるんだな笑  てか、second投入しようよ☜ 絶対、まめに返してくれそうやん　笑
@ManamiFlower  それなー！  Flower単独もいいけどSECOND単独あってもええやん(｀ﾛ´)  って思った笑
@yuisara78  避けないよ♡♡♡♡♡ 口裂け女じゃないから✋
@yuisara78  愛情の裏返しなら、わかるわ笑 素直じゃないな〜
@20020227miimero   そうだね（笑） お恥ずかしいわ
@yuisara78  価値あるよ！ 誕プレあげるよ♡
@yuisara78  どっからどう見ても違うだろ（笑）
@20020227miimero  仲間だから、反応しちゃうんだよね♡  #年下を巻き込むな！
@yuisara78  それは、絆  そう、誕プレ=絆
@yuisara78  関係なさすぎ（笑）  髪型楽ちんでいい感じだわ
@20020227miimero  いえーい\(´ω` )/ 仲間とか、嬉しすぎる
@JSB24eg  今度作ってあげる♡ 沙紀のためだけにwwww
@20020227miimero  結構おいしくできた（笑） デブになるww
@20020227miimero   ちょっと、そこの君！！ 女子力上げたいかい？？ わたしと一緒に女子力あげよう！  って感じの委員会かな（笑）
@20020227miimero  細くないよ笑 春休みにダイエット革命をおこしたいわ笑
@yuisara78  しゃしーん！！！
@azu__1d   わたしだじゃれ大好きです👌
@jw_momo07   いいクラスの条件は ⇢山内と同じクラスであること  だよね？（笑）
@azu__1d   ゆで卵をゆでた孫www  くだらな（笑）
@azu__1d   ちょちょっちょっと待って✋先輩（笑）  照れちゃいますよww
@tomiho0711  まいうーだったよ👌
@asami_73114  食べました！笑 もう、ありませぬ
RT @fu384518: 助詞は副詞に夢中
@yuisara78  写真撮ればいいやん☜ 自撮り〜www
@asami_73114   え、てか今度ららぽに作りにいこーよ（笑）
@fu384518  大阪って味あるんですか?（笑）
@yuisara78  わたし、長ーい❁ ゆい、短ーい❁❁  身長と同じ感じね #嫌味
@FlowerMamnami  きたよ！！！
@yuisara78  さりげ心に傷ができる（笑） 文字で見ると怖いってww  わたしは髪の毛ばさばさ
@fu384518  ですね（笑）お好み焼きとか
@asami_73114  遊ぼ遊ぼ♡♡♡
@yuisara78  そして、肩もストン けっこうななで肩
@yuisara78  え、誕プレが絆とかどんだけ絆浅いんだよ（笑）
@fu384518  え、大阪好きなんですか〜?（笑）
練習試合疲れた（笑） しゃくねつの太陽にやられた
@fu384518  なるほど（笑） 寺西先輩関西弁しゃべれますよww
@asami_73114  強すぎ（笑） てか、可愛い子が多い件。
@yuisara78 　 え、それ言われると辛いんですけど（笑） 優衣は、人の心を傷つける天才！
@yuisara78  なで肩ばかにするなよ！ なで肩は、わたしよりも身長が高い人間に肘置きにされずにすむぞ（笑）
@yuisara78  ほうきとか何いってんの（笑）　 掃除できませんよ☜
スポンジボブの映画見たい（笑） 誰か、一緒に見に行こーや♬
@yuisara78  掃除とかまじ汚いよ（笑） ☞BAKA☜
@yuisara78  あ、身長高めだから思っても無理か✋ とくに優衣とかは（笑）
@yuisara78  真に受けたよばーか！
流行に乗っかる•̀.̫•́✧  👉呼び方: 👀アイコン見て: 💭今の印象: 💏好きor嫌い: 📲LINE交換できる: 💎一言:  #ふぁぼしたひとにやる
@yuisara78  くずとか、ゴミ箱行きやん 悲しい（笑）
@yuisara78  過去の話しすぎてうける（笑） とかいってみる
@yuisara78  ばかにばかっていわれたくないもん とか、よくある永遠のけんか（笑）
最近、テニス部の練習を吹奏楽部が盛り上げてくれてる（笑）  ☝(՞ਊ ՞ ☝)三(☝ ՞ਊ ՞)☝
@sisimsh   流行に乗っかる•̀.̫•́✧  👉呼び方:かなで先輩？（笑） 👀アイコン見て:なんか吐いてるw 💭今の印象:懐かしい♬ 💏好きor嫌い:好き 📲LINE交換できる:できる！！ 💎一言:また、機会があったら会いたいです（笑）  #ふぁぼしたひとにやる
@Gf11Lv   流行に乗っかる•̀.̫•́✧  👉呼び方:みゆ　さとみ 👀アイコン見て:草原のスパイダーマン 💭今の印象:じっとしてられない笑 💏好きor嫌い:好き 📲LINE交換できる:しとるで 💎一言:バス一生宝物にするね♡♡♡♡♡♡♡♡♡♡  #ふぁぼしたひとにやる
@maki120711   流行に乗っかる•̀.̫•́✧  👉呼び方:まき 👀アイコン見て:虎に載ってる笑 💭今の印象:うる　さい（笑） 💏好きor嫌い:好き 📲LINE交換できる:してるんば！ 💎一言:まきが、糸まきまき☜  #ふぁぼしたひとにやる
@0221yuuuusei   流行に乗っかる•̀.̫•́✧  👉呼び方:今井 👀アイコン見て:太鼓！ 💭今の印象:卓球部www 💏好きor嫌い:普通 📲LINE交換できる:してるー！ 💎一言:部活Fight！！  #ふぁぼしたひとにやる
@JSB24eg  メンディーのやつ絶対すぐ売り切れるよ（笑）
@sisimsh  いえいえヾ(´˘`*)♡
RT @Gf11Lv: @ayapeco0222 盛り上げてるのにくらのまきなが定演いかないとかいってるからしばいといてね☆〜（ゝ。∂）
@yuisara78  てか、ACのCMのやつ（笑）
@yuisara78  どんなに（笑）
@yuisara78  行かねぇよ（笑） とりあえず、寝床に行く
@FlowerMamnami  いえす！ てか、私のアイコンの啓司さんお気に入り.｡.:*☆
@nrmidk   流行に乗っかる•̀.̫•́✧  👉呼び方:ゴーゴーマリン♡嘘 👀アイコン見て:白目　あるある探検隊の西川君 💭今の印象:今どきgirl 💏好きor嫌い:好き 📲LINE交換できる:してるし✋ 💎一言:あ　そ　ぼ　う　ね！  #ふぁぼしたひとにやる
@FlowerMamnami  うひょひょひょひょ（笑） 黒木　✖　佐藤　はやばい（笑）
RT @Gf11Lv: あかすいお疲れ様でした！ OB.OG方、本当にありがとうございました！ 反省点は多くありますがよいものができたと思います！ http://t.co/N8BUuYGt0C
@FlowerMamnami  それはもう最高ね（笑） 週刊のとき、さすがだった
@FlowerMamnami  それそれ（笑）
@jw_momo07   流行に乗っかる•̀.̫•́✧  👉呼び方:桃子（笑） 👀アイコン見て:三役ー！！ 💭今の印象:い　ま　え 💏好きor嫌い:好き♡ 📲LINE交換できる:してる（笑） 💎一言:がちゃ見たよー⇧⇧⇧  #ふぁぼしたひとにやる
@yuisara78   流行に乗っかる•̀.̫•́✧  👉呼び方:優衣 👀アイコン見て:おお（笑）とかいっとく 💭今の印象:ブラック☜ 💏好きor嫌い:好き♡ 📲LINE交換できる:してる笑 💎一言:また、遊びましょ  #ふぁぼしたひとにやる
@mk_2000121 うんうん（笑）
@maki120711  え、なんの評論家だよ☜
@maki120711  まじかよ（笑） 参りました
@ynyuan いえいえ♡
@FlowerMamnami  10とか、見すぎな（笑） テレビの見すぎで目が悪くなっちゃうよ
@jw_momo07  語るしか（笑） 最後なんであのお方が💭
@maki120711  今きづいた（笑） 弟子にしてよとかいっとく
@yuisara78  知らねぇよ（笑） 健康じゃん
@yuisara78  それ、やばいよ笑 もっと牛乳飲めよ
@yuisara78  ばかっていうと ばかっていう  とかいうやつ笑
@MusicMakina  蔵野さん明日中目黒？ 何時ですか（笑）
@MusicMakina  え、メンディーのメンプロあったらお願いしたいですwwwwww  てか、電子の整理券とった?
@MusicMakina  あったら買っといて👌 1500円です！（笑）
@66Reika  日本もらったの（笑）
まじ、点描とか何（笑） 手が疲れたんだけど
@asami_73114  通称宍(4 4)戸先生の日に生まれたあなた！おめでとうございます♡  いつもくだらないことにツッコミ入れてくれてありがとう(´°ω°`) あさみのおかげでとりあえずしけずに済む www   いつもおだやかで優しいあさみ大好きだよ✡これからもよろしくね♬
@MusicMakina @ManamiFlower   次はわたしも  とか言ってみるw w w
@asami_73114  コンビ組むしかwww  大好きとか照れるから(//˙³˙//)
@66Reika  うん（笑） 可愛い間違い♡
明後日には、クラスが発表される（笑）  山内の心境 ⇨期待と不安が入り交じっています。  #どこかで聞いた
@asami_73114  えーだなんて言わずに  ♬ええじゃないか 　ええじゃないか〜
@jw_momo07  あと、スタバな✋
@jw_momo07   GODIVAを味方につけとけば ❁華の勝ち組❁やでぃ
@asami_73114  体育祭ね☜ あっという間だよ！ひびきまで（笑）
@asami_73114  ついていって（笑） 逆においてかれたらうける
@ManamiFlower  ごめん解読できないわ（笑）
@wave_sound0820  畔上先生は、多分向山先生ポジションです（笑）
いよいよ3年生になった！ 受験学年だ(T^T)  3-5よろしくね（笑）
@maki120711  知らんわ（笑） 3年では変わっただろん
@asami_73114  あ（笑） 同盟普通にむしった
@asami_73114  がんばって！ ついていくんだよ！
@STRM_0410AB  運命の人とか♡ また、受験前に会えるかな?
@wave_sound0820  多分違います（笑） なんか、始業式で畔上先生が司会してました！
@STRM_0410AB   おお♡一緒やん
@wave_sound0820  山科先生が中山中学校に行っちゃって、その代わりに川西先生が入る感じです（笑）  あとは、みんな変わらず😛
@STRM_0410AB  え、そんなこといわずに（笑）
@momokahappy0102  そうなんですよ！ びっくりです（笑）
@momokahappy0102  あ、福永先生2年生の担任でした ! !  あと、鈴木先生が3年生の進路主任??てきな先生になりました（笑）
@momokahappy0102  多分1年生の担任だと思います！！！
@tomiho0711 @hockey0409 学級委員とかわたし大役死ぬ笑
@tomiho0711   =見守ってるってこと笑 モイキーだわモイキー  わたし、一気にキャラ変してクラスまとめるしかないな✋
@tomiho0711   それはな 笑 全然良い 笑 でも、部活の顧問だし小金井で始まり小金井で終わるのは辛いやつ😛
@tomiho0711  さいこうじゃねえ（笑）
@hockey0409 さんきゅー👌👌
@shunyanodayo  10時です！！！
@Momoka14141414  いえいえー💭 4ちゃんだよ！！
@Momoka14141414  うん！！見て見て😂💗
@sakura_gun  クルトガ多すぎて爆笑した（笑） クルトガコレクター✋
@sakura_gun  すごい（笑）  あの、お名前教えてください💭 #今頃
@sakura_gun  やっぱ、小澤さくらちゃんだよね笑  臨海❔
@sakura_gun  しってますよ！（笑）  名前貼ってあったね😎
剛力彩芽の新曲 w w w  最初が『友達より大事な人』 新曲は『ワガママは大事な人』  大事な人好きやな👐👐👐👐
@yVvaUzY79fbluue  枯れてない！！！！
@FlowerMamnami  でたそれw w w
雨ぱんぱねぇ☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔☔
暴風警報ではじめた👎👎👎👎👎
@asami_73114 朝練あるのな⤵⤵⤵
雨とか風とか音がうるさくて何気びびる！！！！！ほんと静かにやってほしいわ✋  台風にまけないわたしの美声で、ひたすら歌を歌い続ける！！！ #近所迷惑
@asami_73114  それは、ほんとに思う！！！！ 朝早いから辛い！！！！
@flap_maki  まじ、叩かれる！！！ まだ、4番だよw w w
@flap_maki  あ、それは終わったばっかだわ（笑） まじ小文字おつ👎👎👎👎👎
@asami_73114  起きれた〜( ･´ｰ･｀)どや
修学旅行とかw w w  2年のときからいろいろとやってきたけど、きっと一瞬でおわるんだろうな✋
@FlowerMamnami  可愛い〜！！！！💖
声が枯れるまでカラオケで歌い続けてみたい！！！   誰が今度つきあってよ（笑）
@JSB24eg うぇい😎😎😎😎
@flap_maki👍👍👍👍👍👍👍👍👍👍👍👍
@FlowerMamnami ✋
そういえばさっき妹と ちびまる子ちゃん 見てたら、妹が『うち、まるちゃんのお姉ちゃんと同い年なんだよ！』とか言ってきたw w w w   絶対、まるちゃんのお姉ちゃんのほうが落ち着きあるw w w w
@ManamiFlower  それ！！！！☞ しほちゃんなの？？？
@ManamiFlower  まじで、怖いんだけど（笑） 自分の身の回りに赤い光がないか確かめる（笑）
@ManamiFlower  透の命にもはや危機感じる（笑）
そういえば、今日マーライオンの顔で失神してるやつ見たな✋
@Gf11Lv  お前だよおおおおおおお！！！ ☞にしおかすみこで
まだ、気持ち的に修学旅行から帰ってこれない👎👎👎👎  楽しかった😎
RT @simxsh: #LTU  #NOR  #ISL #POL #SWE #DEN #ITA #LAT  #EST #GBR #FIN #FRA #SUI #GER #GRE #NOR #AUS #AUT #RUS #BEL #ESP #HUN #NED   かわいいなこれ…
これから、牛角行ってくるとっと〜  ってことで、今日は　 　エンジェル4 ☞ 牛角4
今日、ひびきの外練で感動した😂  先輩たちはあんなに熱いグラウンドで演技してたんだなぁ〜w w w w
@ayapeco0222  なわけw w w w
@sakura_gun  えええ わたし転部したい（笑）
@Takumivb12 ほんとだ笑 あごは、おかしくなってないな✋
@0221yuuuusei  上原の写真保存するわ（笑）
@yuisara78 今度はmy一輪車持参な（笑）
@yuisara78 ステンなよ！ とか言ってる私もあるかわからない（笑）
@JSB24eg わたしかよ↕😔😕🎅⚠🎅🍎🍑😔✨🎶🐟💖☝💭😫✌👊💭👎
受験前にAW イマカラタノシミスギテ シニソウ👻
@sakura_gun  当たったー😂😂😂😂😂💖
@JSB24eg いいないいな👄
@JSB24eg  今日すぐ入れた~？？
@JSB24eg  わたしも行きたかった😭
今市と登坂髪の毛の色お揃いやん👄  仲良し💗💗
@yuisara78  小文字キモいよ👎ｵｴ
@yuisara78  わかりたくもねえよ✋ それなら、伸ばし棒でいいよ（笑）
@yuisara78  ごめんなさい🙏 小文字協会に入会させてくださいませ
@yuisara78  え、それ100分の1ですか👐 安すぎます😭😇😭
@ManamiFlower  わたしの妹はおぐねぇっていってる（笑）
@hockey0409  合宿わたししません（笑） それか、勉強合宿する？（笑）
@hockey0409  遊戯の家で朝昼晩おやつ付きで、今なら10000円でわたしが教えるっていう合宿
@hockey0409 スーパーウルトラ値引きしたのに不満があんのかよおい
@hockey0409  まじかよ てか、いまさらですが合唱の練習ってどうやってやるのですか？（笑）
@hockey0409  は~あ👄 練習してる？
@hockey0409  あ、合唱の合宿やればいいのか✋
@nobonobo1818  さんきゅっきゅ😋 ダジャレ対決わたしの勝ちだな（笑）
@nobonobo1818  東久保出してくるのはズルい（笑） 何だお前w w w
@nrmidk  門井様HappyBirthdayでございます🎉
@ManamiFlower  愛美~！！ AKIRAの缶バッチもってなかったっけ？
@ManamiFlower  ゆずってもらうとしたらAKIRA定価以下は厳しいよね😂
@ManamiFlower  おけい👐👐 写真送ってもらってもいい？
@ManamiFlower  ありがとう😌✨ 定価で譲ってもらってもいい？
@yuisara78  あなた、鍵だからタグ付けできんかった（笑） さんきゅっきゅ~
@lzue_m  遊んでくださいね👐😋
@yuisara78  勉強になりまする😋💞 優衣先輩  なんていうわけ無いだろ⤵
@PB0hoTDBc845RIK  わたしもよ😋💞 世界平和の作戦会議ね（笑）
@yuisara78  調子に乗るなよ全くもう✋ わたしは知ってるぞ！秘策とかいってどっかのホームページから引用しただけだろ😑  #くだらない引用
1日目終わるとほっとしてやる気なくなるわ~⤵  はやくテスト終わって欲しい
沖見んち停電なう。
@yuisara78  どんまいだろまじ（笑）
@yuisara78  怒るな（笑） 雷なった死にそう
@yuisara78  わたしは死なないよ💞 男テ二でも女テニでも強くね（笑）
@yuisara78  え、やはりそうなの知らなかったwwwwwww 頑張れ~(ง`0´)ง ｼｬｯ
@ilovelilymomo  中大横浜~😋☁
@ilovelilymomo  めっちゃ楽しかったよん😋💗
@N12O7   喜ぶんだ！ 便乗してもらって（笑）
@N12O7   そんな拒絶しないでw w w w w
@ManamiFlower 了解👌👌👌
まじ、成績とか萎える👎 学校休みたい（笑）
@yuisara78  優衣に彩花とか呼ばれて感動したw w w w w w w 泣けてくるわ
@yuisara78  一億年とか人生盛るなばばあw w w w  優衣は最近なぐってくるしさ、やっぱり沖見ﾎﾞｳﾘｮｸ優衣👐👐👐
陸部Fightってことで寝る（笑）
@JSB24eg   トラステいる！
@JSB24eg  日曜だし遭遇ないっぽいわ😂💕 なんかいるものある？（笑）
@JSB24eg  おっけ💞 岩田買ってくるわ#無理
@JSB24eg  5つ買えたから月曜持ってくね✨ なんか、BPの缶バッチレジでの販売だった（笑）
@JSB24eg  まあ、わたしにかかれば岩田くらい余裕w w w w w w w  今回は、わたしが宅急便するね！
@hockey0409  双子コーデとかいまどきだね👍
@N12O7  ねねね！うぇ～い\( ˙-˙ )/ ピチレモンね🍋
面談やだな～ 昨日の様子聞いて覚悟してます（笑）
国語むずい👎  国語とか、主要5科目に入れないで欲しいわ～😤
夜にラーメンたべないって決めた意思が弱すぎた爆笑  たべてしまった😋
あかちゃんまん可愛いし優しいし強いし惚れた（笑）
@yuisara78  それは辛い（笑） 間違われてる誰かとw w w w w w
@yuisara78  どどどどんまいすぎ（笑） どんな流れで間違えるんですかね  ベテランのはずなのに…
@yuisara78  おじいちゃん（笑） おじいちゃんなめんなよクソガキ！！！
@yuisara78  え、大人すぎてなやみ⤵⤵ どんどん老けてく爆笑
ロッチ中岡と好きな数字かぶった（笑）
@yuisara78  はいそうですよ～だ（笑） もはや老けてるのに否定という文字はないな👌
@yuisara78  無理やり若作りだとおい（笑） 一生懸命中学生になじめるようにしてるんだよおおお😂💦😭
@N12O7  楽しみ～笑 語ろうねん！！
