ひなまつり集会！w http://t.co/EuBbN1eW
コロッケ定食！ at Home http://t.co/ATVs4HOK #miil
昨日も！wコロッケ定食！ at Home http://t.co/oaRbBA4B #miil
あすかのバースデー♡ at Home http://t.co/5yRyHNEn #miil
コーンスープ＼(^o^)／ at Home http://t.co/mHqrDzZ2 #miil
パスタ！ at Home http://t.co/bkdbrRsr #miil
バースデーケーキ＼(^o^)／ at Home http://t.co/V1iPRyo9 #miil
@sadamisa 作ったと？すげー！うちにもー♡
@haruharu0814 んー…そんなかんじ！ みんななに食べていきてるんだろう…??
@sadamisa 壁がびょうとかつけたくなかったら無理？
@sadamisa 壁画鋲とかつけたくなかったら無理??
@sadamisa だよねー…穴開けんでなんかできんかなー…
簡単！肉料理ʕ•̫͡•ོʔやばっうまうま！  http://t.co/a7l3CcEu #miil
@haruharu0814 こないだブリッジして腰痛めた…としかな…
@sadamisa うちも棚白くしたいとけど、ペンキ？塗ると？？
ハヤシライス！  http://t.co/poHjhBro #miil
@sadamisa そーか…絵の具⁇ 棚大きいけ、果てしない…けど、家の中じゃできんしあきらめんばかな〜…
花ござなう！ http://t.co/3k4SPowR
只今、歩いて街までどれくらいかかるか実験中！近道とかないとかなー??そのまま飲み会＼(^o^)／おなかへったぞ #！
二日連続のカラオケ…
久々のオール！まだまだいけそう！寒い…若い！
at めがね橋茶屋花ござ http://t.co/PJ7BanNg
若くなかった…だるい…美容室なう！眠い…
ガーデンテラスでディナーなう！8000円コースおごりなう！ http://t.co/NZOkjh4q
@mizu_pn 自分でできんの？ うちソフトバンクだからWiFiにした！
@HAWKS_official 今日は友達の誕生日！プレゼントは今日の観戦チケットとユニフォーム着た写真！ウェルカム長崎＼(^o^)／
ホークス観戦なう！逆転勝ちなう！
やっと終わったー꒰˘̩̩̩⌣˘̩̩̩๑꒱ 負けたー(ꈨຶꎁꈨຶ)۶明日だるー…
蛍見てからの焼肉なう！
やっと帰った…みっこたんとたけちゃんとりょうすけくん…
@haruharu0814 @mizu_pn りょうすけがうちの家の向かい側でさ…今後が不安です(´Д` )
杉内に負けた…交流戦最下位…鷹の祭典どうしようかな…
@sadamisa いいねー！！！
@haruharu0814 こないだまやの実家のカフェ発見！
どうやら、Facebook、バースデーカードをみんなに送ってるっぽい！ けど、英語で読めんし止め方わからん(−_−＃)
かなえちゃんが泊まりきてるなう！ ＼(^o^)／＼(^o^)／ http://t.co/Txswnbac
え、元気だって！写真w http://t.co/ZHEVjeLf
@haruharu0814 爆笑やったよね(ಡ౪ಡ)またどっかいきたーい♡
なえさんと、クッキー作りなう꒰⌯͒•·̫•⌯͒꒱
できたー꒰⌯͒•·̫•⌯͒꒱ http://t.co/Wl93XtMh
みっこたんの誕生日祝いで鳥でんなう！ http://t.co/ny7V6qfC
@haruharu0814 みっこたん今年成人！
@haruharu0814 あ、まともに初めてみた！
今日はいつもより2時間多い15時間労働…どうなってんだ！そして、週末大量の持ち帰り仕事…もうっ、いつ休んだらいいんだ！頑張れんくなる！꒰˘̩̩̩⌣˘̩̩̩๑꒱ とりま、ごはん食べいこーおごりおごり〜
ブログを更新しました。 「もらいもの」→http://t.co/YMiHqCgd
ふくのゆわず！ 私学共済でタダで入った♡
@mizu_pn それ、いい匂いよね！！
@haruharu0814 うちもWiFi〜ネット何につないでたの？？
Cafe gratoなう！ めっちゃお腹空いてたからまいう！さっき野菜市場でねぎって？アボガド68円でゲット♡冷蔵庫野菜だらけになりそうw
轟の滝行ってー、UNIQLOでおソロのパジャマ買ってーご飯食べてー、もうすぐふくの湯！！
LIVE帰りなう！
ブログを更新しました。 「LIVE」→http://t.co/lw2AyPjQ
ブログを更新しました。 「8日」→http://t.co/VZ3OMfuC
ブログを更新しました。 「7日」→http://t.co/kv20jQ9G
LIVE帰り http://t.co/rGmaedZb
轟の滝 http://t.co/BhCT3qtm
久々の集まり http://t.co/ipSY9mqd
新大工 http://t.co/GEMQSL3W
七夕飾り製作 http://t.co/PoCXmo2x
お疲れ会 http://t.co/zFMKJijU
久々の武蔵 http://t.co/WDPvz0u0
ブログを更新しました。 「10日」→http://t.co/JnlAyWLu
つぼはちなう！飲むぞー！
鷹の祭典 http://t.co/G1tjBWSa
むさし似 http://t.co/8voelW3p
@haruharu0814 @mizu_pn うちにもアイス大量買いしてるー！ ハーゲン、ハーゲンクレープ、ガリガリ君、かき氷、ラムネ入りアイス…必需品！！♡
@haruharu0814 @mizu_pn あ！おすすめはガツンとみかん、ガリガリ君梨！シロクマ、牧場食べんなー…てか、どうやってチケットとってんの？？
@tkdonguri ニュースで見たwアホやろw
ブログを更新しました。 「むさし…」→http://t.co/XG2BiP5g
研修でふくおかなう！ 蟹食べてきた！ http://t.co/6fsdOAwq
@mizu_pn いや〜連れてってもらったからこちらはなんにも言えんやった…
研修おわたー＼(^o^)／
みなとまつりなう！久々浴衣着たなう！
虹〜♡イン久留米 今から花火！
@sbetmk あ、うちに向けて？！？w あるよ！場所も決定してます！ ちょっとかおりんに言ってみんなにまわします！なかなか連絡みんなにつかなくて…(ꈨຶꎁꈨຶ)۶
@sbetmk 今言ったらちょうどメール作ってたって！ もうちょいまってて＼(^o^)／
@haruharu0814 どんなのー？？ いいなー！！
@mizu_pn @tkdonguri 朝から子供にも話してちゃんと黙祷した！
かなえちゃんも帰ったしむさしと昼寝するか！
今から同窓会！幹事！人数集めただけで、ほぼ何もしてないけどw
@sadamisa いなさやまー！
@mizu_pn おぼん帰ってくんの？？
江迎なう！ おなかすいた…
@mizu_pn 人数集まらんやったけど集まろうてきな…帰る予定はー？？
温泉なう！∑d(*ﾟ∀ﾟ*)
友達のカフェ http://t.co/AQDDDR5K
ウルトラマンごっこ！ http://t.co/mnIA39lH
あれ、横だ！9月のおたより http://t.co/J9CQWgN0
誕生日 http://t.co/wlpCxIAg
筑後川花火大会 http://t.co/bejSgCaF
幹事がんばった http://t.co/gfeyCDEC
ああ… http://t.co/3yZZGXVc
ピアノしたに住み着く http://t.co/zvOjRZcx
筑後川花火大会 http://t.co/rDGyJDvM
いつもの3人 http://t.co/ce5eAKNr
らいぶぅー♡ http://t.co/zwkQnugh
お寿司ケーキ http://t.co/fBX0ya50
花火大会前 http://t.co/PCmHXpOq
軍艦島 http://t.co/3ARaVbRd
かにづくし http://t.co/dJ0VdSP8
そんな扱い？ http://t.co/Dbgsn1uv
たびのけいかく(＾ω＾) http://t.co/mxewNz8M
なんか首にまとわりついとるし http://t.co/le8kz7hy
弾丸の旅！熊本！楽しかったーーー！
グリーンランド http://t.co/NvgOSNwl
研修後のクレープ♡ http://t.co/2S5FfrMF
旅行出発！！
ブチに聞いた高級黒豚牛料理、華蓮なう！やばー｡ﾟ(ﾟ＾∀＾ﾟ)ﾟ｡腹減ったー！！
黒豚牛（◍›◡ु‹◍)☆ http://t.co/R7aniALa
朝から腹一杯！ http://t.co/vUpG0K34
部屋からの景色(＾ω＾) 火山灰が…(´；ω；｀) http://t.co/A5LgFj0C
母にディナーおごってやった！ http://t.co/LRiXyhWz
なに、この足！w http://t.co/X5ucnLXX
砂むし温泉にいってきた！ http://t.co/PXLAyJXN
今日も早く終わった！お腹痛い…夏休み…普段に戻りたくない病(´；ω；｀)
@mizu_pn くさや…
@sadamisa ん？呼ばれてないけどΣ(꒪ȏ꒪)
美術館かーらーのーカラーなう！ 急遽(＾ω＾)
夏休み最終日(´；ω；｀)美術館、髪カラー、猫カフェ、すきやき…さよなら私の夏…(´；ω；｀)(´；ω；｀)
めっちゃ探したー！ランチした店！ http://t.co/SJQHlQvb
猫カフェにて。 http://t.co/eBfySXhk
@sadamisa そーなんだ！了解したー！！
弾丸トラベラーが終わる？？今映したやつみてびっくり(´；ω；｀)大好きなのに…がーんがーんがーん
まいうー（◍›◡ु‹◍)☆ http://t.co/6nX58XRF
ハーゲンらぶ♡ http://t.co/IWOmgovk
駐車場に車止めてたら前にいわたくがきたー！奥さんとおった！
この時間にお腹空いてきたー(´；ω；｀) どうしよう…
ブログを更新しました。 「あぁ、また始まる…」→http://t.co/mm9acNYA
ブログを更新しました。 「今日のむさし」→http://t.co/emYTQwsy
ブログを更新しました。 「遊庵」→http://t.co/pUjJagSu
今日運動会練習後意識なくなり倒れたwうけたw
色々調べたら、貧血？中度の熱中症ど っちかかなー！と！癖にならんごとせんばー！
仕事は山積み、体力も限界を迎えそうですが、飲みに行ってきますwさよなら、明日…
けいちゃんと、しおたくんとのんで〜夏！もう、明日なんて知らないっ＼(^o^)／
かなえちゃんとやつと飲みなう＼(^o^)／あれ、正月の飲み以来のらんでぶー！
あのなつかしの！^_^ http://t.co/BqgJLbMB
@haruharu0814 めっちゃ晴れてるから洗濯いっぱいしたー！雨いきなり降って来たらどうしよΣ(꒪ȏ꒪)
FFなう。まだはじめのほう！ http://t.co/GdnFQxN1
あの花なう！3連休は珍しく引きこもり＼(^o^)／ http://t.co/A7ivuRlw
@sadamisa ルカにつきました！
第2話 めんまーーーー！！！ あの花、2回目＼(^o^)／ http://t.co/8vQgJB0s
GODIVAもらったー♡ http://t.co/D6JhCKY4
石原さとみかわいすぎやろー！！！ 月9とか見らんけど見てしまった＼(^o^)／
あの花終ってしまったー˚‧º·(˚ ˃̣̣̥᷄⌓˂̣̣̥᷅ )‧º·˚やばい、号泣2回目…めんまー！！！！ http://t.co/e7FiqW1i
@haruharu0814 まじか！毎回映してる！
佐世保なう。早くつきすぎてくじゃく園とかいってみた(･∀･)雨降ってる…今日花火なのに… http://t.co/KD3qfKbl
@haruharu0814 まじか！昨日はエヴァ見よって見てない…
@tkdonguri @haruharu0814 えー!?やってなかった！借りたwもうすぐ映画やけみとかんばかとw
今から明日の運動会の準備(╥Д╥ )台風こないでくれー…
今日だけでめっちゃつかれた！ということで、マッサージいってきた！明日がんばろー…
寿司食ってきたー！ただ、すごく嫌な気分で帰ってきた(●･̆‸･̆●)
@mizu_pn みんなハッピーエンド(･∀･)
ティウンティウン(＾ω＾)金田の合いの手爆笑ばくわらしすぎて腹筋崩壊w⇦
かなえちゃんとなべなう♡ http://t.co/sZTAHG5y
からのー、世にも奇妙な物語w 今日はホラー祭り∩^ω^∩
今日は夕日見に行ったら雲に消えてった！ それもついて一分くらいでいなくなったw http://t.co/rICDSAhP
夕陽 / 夕陽が丘外海 http://t.co/OVFZm8yd
鍋の季節… / かなえちゃんと鍋♡ http://t.co/bu1wAHaC
遠足の下見 http://t.co/a2n1QQ6a
月見バーガー / 今年は食べれた！ http://t.co/H5eyfAZl
運動会の打ち上げ酔っ払い / めっちゃ飲んだーw http://t.co/XZDPxzWQ
人大杉！くんちを園で見てきた！かなり近くで見れたけど疲れた(′ʘ⌄ʘ‵)
今日勝ってるー！！！あしたもVV！
空が綺麗だ！ http://t.co/Trm7nnkU
世界三大夜景の長崎の夜景を見ながら家の近くで花火見た！明日も上がるってー http://t.co/VHrdlam9
はぁ、また一週間始まる…今日から地獄の12連勤…
わーいわーいホークス勝利ー(＾ω＾)どっこいどっこいのゲームやったけど！ おめー(＾ω＾)おめー(＾ω＾)このままかって欲しいぶいぶい
劇の台本 http://t.co/cUOiTTTf
明日負けたら終わりだ…摂津だし…一勝くらいして欲しい…
今シーズンおつかれさま…ストレート負け(｡´Д⊂) ｳﾜｧｧｧﾝ!!  キャプテンおつかれさま…
新車 http://t.co/9rB8r81Y
なべパーチー http://t.co/T9Cz0fuu
ﾋｲｨｨｨ!!!!(ﾟﾛﾟﾉ)ﾉもうこんな時間(´；ω；｀)そんなばかな！
@haruharu0814 いらないものを箱にばさっといれたら片付いたw
@haruharu0814 かわいい段ボールみたいなやつ買った！wサリー変わった！
今帰宅中…家帰って仕事。起きたら仕事。
@mizu_pn @haruharu0814 あ　きとっとかな？知らんけどりょうすけくんにそういやこないだ言われたかも(゜_゜)でも、えー予定なかったらね―みたいな感じに返答しといたーみんなが行くなら行くー
@haruharu0814 え、うちも予定あったら１７福岡インしようかなー─=≡Σ((( つ•̀ω•́)つ
@haruharu0814 @mizu_pn 聞けたら聞いとくー(･∀･)
@haruharu0814 がんばれ！！うちも来週12連勤｡ﾟ(ﾟ＾∀＾ﾟ)ﾟ｡
おでん売って来た http://t.co/6iid6Qvq
http://t.co/U5qOGqxp http://t.co/FfPLS7l2
http://t.co/OgRodsCl http://t.co/M03NmMXy
今日は少し充実！ http://t.co/NlZ1X53A http://t.co/M6Ztbdq5
今日は少し充実！ http://t.co/NlZ1X53A http://t.co/d9R7UFkE
スウィートかかぼちゃ http://t.co/MocB7qxZ
11月の壁面 http://t.co/zRAPUfxB
ハロウィンリース http://t.co/Rd8D453u
雲仙 http://t.co/nDd06HEE
お誕生日会のかんむり http://t.co/JbY0hxa8
おでん屋さんした！ http://t.co/GeCB9ddk
食べ放題 http://t.co/2WohBRhM
誕生日カード http://t.co/2xB9mtTM
はい、12連勤途中ですが何か？それでも、どっか出掛けようかな！
@haruharu0814 若干もう行きたくないかなって…絶対来てーって言われたけど( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)
@haruharu0814 ねぇ、17日たにーもくると？かなえちゃんといこーかな∑d(*ﾟ∀ﾟ*)
@mizu_pn あ、電話してみたけどでらんやった！
@haruharu0814 @mizu_pn 連絡きたー(･∀･)次の日試合らしーけど、くるって！うちも次の日仕事やけん早朝帰る！
こたつ買った(･∀･) http://t.co/ZANO1i5R
差し入れ♡ http://t.co/uXi6W9Pl
今から帰宅｡ﾟ(ﾟ＾∀＾ﾟ)ﾟ｡
エヴァ〜∑d(*ﾟ∀ﾟ*) http://t.co/GdV5SbBi
ハウステンボス………の前のレストランで食事w http://t.co/ZYdCuF7H
おやすみ…( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)
なぁにぃ〜？？堅ポテ回収だとー？今食べてた！昨日も食べてた！
明日行ったら休みやん！めっちゃ嬉しい！！！！
あー、イライラする(子どもがいう言葉) ほんと、今コレ。
泡風呂♡ http://t.co/AQ8T5js6
マッサージ＆カフェ http://t.co/C4BKaOWB
御船山楽園 http://t.co/vUKD2jcL
砂場の顔 http://t.co/zs8vsyiK
ひっさしぶりっ http://t.co/5Tb8loCI
さんらん〜( ꒪Д꒪) http://t.co/m0TCp9nA
鍋会したー♡ http://t.co/IxkgKAPW
はまっていること http://t.co/VAitDJ2J
あ、8時ぐらいでいいかなー？年末！諏訪近くで飲んで、そのまま歩いていくとか！誰がくるんだ？？
@matss1986 @haruharu0814 @mizu_pn 松尾さんもきてくださーい！！！高柳も連れてきて♡
今からかなえちゃんとエヴァエヴァＱ♡
美容院なう！今度はそろそろ色黒くしにこよう…
@haruharu0814 今日おらんやった！あんま行かんよ！
今日は上を向いて歩こうプロジェクト！ http://t.co/DyMtIv1M
醤油ベース鍋♡ http://t.co/rrtak1qN
釜 ごはん♡ http://t.co/18SplzGw
パンケーキパーティ(＾ω＾) http://t.co/zV7nhuJL
むさしの散歩中に！ http://t.co/zQmb4e5L
一万円の肉w貰った http://t.co/1PSxs9vE
もらった♡ヽ(〃∀〃)ﾉ http://t.co/mvzHUi0S
イルミネーション http://t.co/Hki4POGf
久々Twitterあけた。前の見るの面倒でやめた。
@haruharu0814 あ、うちの母の車もムラサキ…
え？クリスマスだって？ 今嘔吐下痢で病院行ってきたけど？
てゆーか、今大分におるとけど？
@sadamisa 下道でとりま行きよる(╥Д╥ )
大分雪積もった http://t.co/OQfS2t1a
さ…さむかった… http://t.co/LsiFTSmO
NERV http://t.co/6jddcXOo
ミスタードーナッツ🎶 http://t.co/Oz4uvrC9
いただきもの http://t.co/ITMno3as
誕生日パーティした∑d(*ﾟ∀ﾟ*) http://t.co/pOIDyFWi
ねみーなー http://t.co/Fe77RLbT
カチューシャが見えるようにってw http://t.co/uNrN1Rdu
ONE PIECE♡ http://t.co/cGIqBG3D
ねみーなー http://t.co/vvcACtS1
あれであそぼー http://t.co/aaxCWvMR
母から差し入れ / 嘔吐下痢の私のため、腸についての本を買ったらしい。なんかズレている。うつるーと、すぐ帰って行った。 http://t.co/uWcQFw37
くまもとなう！今週2回目の県外w
泊まった！ http://t.co/1hanm1Wr
人気のくまもん http://t.co/qzGINHwC
余興したw http://t.co/BwUIVtPH
一番好きなアイス♡ http://t.co/ump92E9w
福岡なう。初売りー！
かゆら、さらー
バドしてきた。筋肉痛半端ない…
マグロの解体ショーにいってきた！ http://t.co/sR2DCtnI
@haruharu0814 反省するだけでもえらい！！
遅い時間に飲みにきたなう(･∀･) http://t.co/c0zlrIn6
@haruharu0814 うちなんて、反省なし｡ﾟ(ﾟ＾∀＾ﾟ)ﾟ｡うちこそ、どうにかせんばとけどさ(ΦωΦ)ﾌﾌﾌ･･ま、楽しかったらいいさ(･∀･)
@haruharu0814 こないだ、行ったっけ？ もう、帰ってきたw
豆腐入りパンケーキ(･∀･) http://t.co/Hk8v3AvP
豆腐入りパンケーキ(･∀･) http://t.co/6e71KJ2a
マグロの解体ショー http://t.co/2NcNN6Ly
金魚 http://t.co/TgxY74ik
あけましておめでとうございます(･∀･) http://t.co/jpDRTwFv
また…中吉か… http://t.co/zqIdBXwF
はつうり http://t.co/AuUPxnn0
クッキー焼いた！ http://t.co/Mo0yMy5p
七草粥つくった！！ http://t.co/yGvZbH3e
七福神書いた！ http://t.co/FUkIsdZW
大晦日… http://t.co/4IlANfw6
実家にきた。仕事しなきゃ(´；ω；｀)じぃじがうちにきた。 今日はみちこの成人式Σ(꒪ȏ꒪)
でぶむさしー！ http://t.co/4C8hNqEi
@haruharu0814 もう帰ってきたー！みちこー！ http://t.co/o2OnreR2
成人式みちこ http://t.co/byZWDZKL
贅沢寿司♡ http://t.co/qe7fC3St
けいちゃんと、しんきくんと鍋、からの実家に一人暮らし始めて2回目泊まる。路面凍結しそうなので。電話したのに扱い雑…寝てるしコタツで寝るんじゃ的な感じ(╥Д╥ )みちこと少し話した。
@haruharu0814 布団用意しとってって言ったのに…みちこに聞くと、コタツで寝ればーて、言いよったって(●･̆‸･̆●)
物産展 http://t.co/kTrghMpm
特上ロースカルビ♡ http://t.co/8Qe7Ldyc
けいちゃん、しんきくんとジェンガー🎶 http://t.co/h2ZjYkIQ
絵本作り http://t.co/X8EMq2VO
マッサージいってきた！マジで楽になった！今週頑張ろう…少しだけ。 http://t.co/ysyNhbxM
誕生日おめれと！遅くなったけどw http://t.co/H2VGmKWg
マッサージカフェ♡ http://t.co/ePUq2QC3
やっと究極進化の奴がでたーーーー！激あつーーー｡ﾟ(ﾟ＾∀＾ﾟ)ﾟ｡ http://t.co/FuumUWJj
うお！( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)もうこんな時間( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)
月がおっきーい！！
イチゴパフェ♡ http://t.co/2BrFth8Q
ゆうあんの人にもらったー♡ http://t.co/50wxeGn4
究極進化！ http://t.co/WS2G96Uv
カクテル http://t.co/zuIYYYHx
昨日は家族で飲みにいった。みちこが髪短くなってた http://t.co/ydTep7oO
美容室なう。初めてここきたけど、下っ端の扱いが雑すぎてかわいそうで涙でてきそう！頑張って欲しいけど、こんなとこ早く辞めちゃえばいいのにとも思う。声も人一倍だしてすごく頑張ってる！
むーとの共演。髪イメチェン。 / やりすぎた。高校生になった。  でも、キューティクル復活！  http://t.co/e7ZvkemA
刺繍ー！！時間かかったー！ http://t.co/H2PFLAJJ
節分祭！神社4つ行ったw http://t.co/j0xpDxK8
大大大好きなニュー長のフルーツタルト！ http://t.co/pZFfWLBX
県民ショー長崎〜！ 攝津がでてるー(＾ω＾)
究極進化ー(＾ω＾)♡やばやば！ http://t.co/JAq2NIUh
あ、昨日の県民ショー、めっちゃ地元矢上映ってたー！！！知り合いとかでらんかなーて思ったけど何もなし！福山雅治をましゃとか呼ばんし！
三連休、遊びたい。けど、仕事が終わらない(´；ω；｀)来週作品展。また毎日かなりの残業…考えただけで嘔吐下痢なりそう！
究極進化Part2 http://t.co/fusUXMO1
おうばんこばんがざっくざくー http://t.co/5IHFFi1Y
なんか、急に家の電波がよくなった(＾ω＾)
@haruharu0814 めっちゃうまかったね！ このコンビ、弾丸トラベラーの時から好き！
スノボ♡ http://t.co/95547rON
手作り小判 http://t.co/XMKvtWAK
今日もよく働いた( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)( ꒪Д꒪)ノンストップ14時間！
@tkdonguri 行きたいー！！教えて♡ウェアゲットした(＾ω＾)
バレンタインデー♡w http://t.co/Xzmib921
宝船の帆。これから変身するー！！ http://t.co/1SQdxTq1
たぶちからもらったー(･∀･) / 味も美味しい♡ http://t.co/noIG8ioT
母からのお土産 http://t.co/gmaeCD3z
本当に久しぶりにマックきた！今日は休み！仕事たんまり(｡´Д⊂) ｳﾜｧｧｧﾝ!! http://t.co/Qzu7hmG4
一仕事終わったから今度は眼科！
作品展やっと終わったー(´；ω；｀) http://t.co/HNyOzGQE
作品展ディスプレイ完成ー(･∀･) http://t.co/lyouiDPy
昼間のランタン http://t.co/9XwFocch
ただいまのむさし http://t.co/ypXXqKsy5s
うーちっかわっ！！満塁ー！！そろそろ野球、始まりますねー♡
福岡研修！ただいま向かっております…
