@Kakechan__0405  そおwww だからしゅーの分まで写真撮りました笑
#gshock #ペアウォッチ #買ったよ #💑#⌚ #❤️❤️❤️ #時計 #かわいい #かっこいい#instagood #instalike https://t.co/bzQ8CYylnK
#dinner #birthdayケーキ #サプライズ #seed #love #instalike #instagood #instafood https://t.co/y09JJKUraB
@BB_SNSD_  いろいろあって載せ直し。。。😢
RT @BB_SNSD_: バイキング🍖🍫🍦🍽 誘ってくれてありがと❕🙏😆 笑った笑った😂💥💥 ❕⚽⚽⚽⚽⚽⚽⚽❕  #なぐもポーズ #サッカー部 https://t.co/cCKBf1tHei
. 誕生日サプライズ❕❕💎で #レストラン 連れてってくれて🍽 プレゼントに #ニューバランス くれて😳😳🙏❤️👟 #gshock #ペアウォッチ⌚💑💕 も買えた🙈✌️✌️😆💥 毎日ずっと一緒にいるのに全然飽きない👫👣😉❤ lov… https://t.co/4ffHz93oib
@BB_SNSD_  いろいろあって載せ直し。。。😢😢😢😢😢
@rinaaa100916  ほんとだよ〜😝💗💗
RT @BB_SNSD_: #gshock #ペアウォッチ #買ったよ #💑#⌚ #❤️❤️❤️ #時計 #かわいい #かっこいい#instagood #instalike https://t.co/bzQ8CYylnK
RT @BB_SNSD_: #dinner #birthdayケーキ #サプライズ #seed #love #instalike #instagood #instafood https://t.co/y09JJKUraB
@yu_taro7 @sharan_7800  ねえあのグループで遊ぼうよ。。。
今日も楽しかった😂😂❕ お寿司満足😜😋🍴💓 またまた、 えみこさんご馳走様です😍😳💎
@popopo0928  かほ先輩お誕生日おめでとうございます👑💖🍰✨ いい1年にしてください😍💗💗
@cQ2k4exBY0QRWqA  お誕生日おめでとう😂🍰✌️ 最近生きてるか心配だったよ。😜
@cQ2k4exBY0QRWqA  よかったよかった笑 全然会わないからさ笑笑
@cQ2k4exBY0QRWqA  やってるよ〜✌️✌️ でも、中学に戻りたいかも笑 かっこいい彼氏もできましたーー！！😆😆😆(笑)
@cQ2k4exBY0QRWqA  戻りたい。。。笑笑 こーせーはできたー？？笑笑
RT @mmkemio: 「トイレ貸してください」って店員さんに言ったらヘラ渡されて「は？なんか引っくり返さないとトイレ貸してもらえないのこの国？何ひっくり返すの？」って思ったら全然鍵付いてて泣いたわ、ストラップ大胆過ぎて意識飛んだ。 https://t.co/mcDzYMkm…
@cQ2k4exBY0QRWqA  ぷぷぷ〜✌️🙈🙈 やっぱりな！！！😂😂
RT @momo17gd: タートルネック👔 x オン眉タラじよ🐲 = 安定の可愛さ🙈🙌🏻💕 #秋冬最高 http://t.co/bao5kIimvR
RT @momo17gd: このコート可愛い！！襟に「too fast to live too young to die」はオシャレすぎる🙈💕❤️ https://t.co/YtXLexo4gd
@cQ2k4exBY0QRWqA  あれ、そーえばツンツンこーせーじゃなくなったね！わ
@cQ2k4exBY0QRWqA  どこがだよ！！！笑
RT @BB_SNSD_: . 誕生日サプライズ❕❕💎で #レストラン 連れてってくれて🍽 プレゼントに #ニューバランス くれて😳😳🙏❤️👟 #gshock #ペアウォッチ⌚💑💕 も買えた🙈✌️✌️😆💥 毎日ずっと一緒にいるのに全然飽きない👫👣😉❤ love.💗💗💗💗💗 .…
@cQ2k4exBY0QRWqA  ぜんぶぜーんぶ全体的に！笑笑
RT @BB_SNSD_: . このジヨンさん ほんとにヤバイ。。。むり。。、 ドストライク︎︎😭😳🐲❕ チョアヨ✌️🐲🐲💗💗💗 . https://t.co/j8YJk1AXWz
合宿お疲れ様でした〜🌻 久しぶりに一緒に帰れた😆😳💖 うれしししししししし💥💥😋😍 明日も明後日も〜😝💞💞
@_kwyk  やば！！笑 いつとったの！？笑 気づかなかった😂😂😂
@_kwyk  ほんとに何も見えない。。。笑 あんな至近距離だったのにね笑 ありがとう！！😂✌️😋
@8VMr6h7O6R5OG2X  ペッぺおめでたや〜👏😜😆💕💕
@miho120807  思わずいいね押しちゃった。。。😜😜😜😜😜😜😜💕 かれぴっぴ今隣で寝てるよぶぶぶ😂😂😂😂✌️✌️✌️
@wksoccer12  こたおめでと😆😙💑💑
@miho120807  ばれてた？(((o(*ﾟ▽ﾟ*)o)))(((o(*ﾟ▽ﾟ*)o))) あとあと、はやくラブラブできるといいね💞ってゆう念をこめた。
@tomokosan3421  かわいい💥💥💥💥💥💥 （この前の投稿も思った✌️）
@tomokosan3421  あれ滅亡したらともちんにあえないね😗😗
RT @ttsnsd39: おかえりソシ。 おかえりティパニ。 この瞬間を待ってました。  #SNSD https://t.co/ywLPE4rS4h
やっぱりジヨンさん太ったよね😂 幸せ太りかな。。。😗😗😗
@tomokosan3421  ともちんともちん！！！ 😘😘😘😘
@ayari0105  混んでたー？？！
@ayari0105  ほんと！！！ありがと！😋
@ayari0105  ありがとう😘😘
『🌸👫四月は君の嘘👫🌸』 想像以上に泣けた❕😢😂 隣見たら🙊🙊🙊プププッ  しょーくんといると変なことして 笑いすぎてほんとに疲れる😵✌️ 疲れすぎて2人とも眠かった😂💤 テスト頑張ろ…😞😞😞 https://t.co/rEHgCLArEb
RT @BB_SNSD_: 『🌸👫四月は君の嘘👫🌸』 想像以上に泣けた❕😢😂 隣見たら🙊🙊🙊プププッ  しょーくんといると変なことして 笑いすぎてほんとに疲れる😵✌️ 疲れすぎて2人とも眠かった😂💤 テスト頑張ろ…😞😞😞 https://t.co/rEHgCLArEb
今年はセクシーな仮装したいからヤセヨ。。。。 もうぷよぷよ摘めないようにしよ）））
#スタバ #スターバックス #🗽  #instagood #instalike #instafood #静岡 https://t.co/ORBjhD3nuO
勉強したくないから✏ たぶん、飽きるまでやる😆✌️✌️  （✔️）名前： （💓）印象： （📱）ラインできる？: （💭）トプ画みて： （👐🏻）ひとこと：  #いいねした人にやる #DMでやる
@BB_SNSD_  @6xPZGo1ZPICg3ru
@shappygirl321  @_____nemui____  ふ、ふたりとも。。。 よ、よ、よかったね😆😆 楽しそう💥💥💥💥💥💥💥💥
3months___👫💞 毎日一緒なのに全然飽きない💥 いつも荷物持ってくれて 嬉しいｺﾄたくさん言ってくれて😚 あたしをにやけさせる天才です🙊 すぐ怒るしわがままばっかいうけどあたしが怒ったら10秒で仲直りできてほんとに優男です… https://t.co/GA9P4Ghl1Y
@kkkannni17__  もえちゃんありがとうううう😵💞💞💞💞
@hitona_soccer  てへ、 羨ましいんでしょー！😜😜😜
@amaomi8312  あまねんありがとおおおお！😘😘
@sasasho0810  ありがとうございます😂✌️
@ayari0105  あやりんありがとー💕❕❕
@__Qt_m  あかありがと💥💕 久しぶりだね😝😝😝
@natsuki_atae  ありがとう😙😙
@_kwyk  ありがとありがと〜😘💝
@Hi7Ka0Ru4  ひかるちゃん久しぶり！笑 ありがとう😆😆💞
@____saaaki0602  最高だら👑👑💋
@yuit_37  はやくテスト終われえええええ！！！笑 はやくあそびたいねえ〜。
@_____rr02  ありがとう😚💕 あれまって、なんでおじさん2人❔σ(￣＾￣)？
@hrk__127  はるかちゃん！ありがとう😚💞
@d_o_xE ラギラギありがとう😋💞
@moe4230  え！！むり！笑 もえちゃんに言われると嬉しすぎて世界壊れる！！！😵😵😵😵💋
@09019811126  ごんごんありがと〜う😇😇💕
@whiteangel0529  てんしっしー！ありがと😄💖
@hitona_soccer  ほんとのことじゃーん😜😜😜😝😝
@not__ntn15  かなちゃんありがと😳💞💞
@sa_cha_xxx  ありがとう😚👑👑 タイムラインでいろいろ見たぞ😢😢😢😢
@yuit_37  うん！！あたりまえ！！！😘😘
@ydQr3S24C4OZHfq  ありっがとと〜😄💕💕
@spongebob_0330  まいかさんありがとうございます😳😄💕💕
@__Qt_m  は！へ！プリ気進化してるからね。。。😂😂😂😂 いや、あたしから言わせればあかりんおとなっぽくなってるどんどんどんどん！！！！！笑笑
@2622_apple  あいちゃんありがと！！😆✌️
@_M_3939  ありがとう😍😍 幸せだよ〜✌️✌️😚
@Nn_m_n_1  あらマリン先輩こんにちわ🌞 え！え！え！会いたかった。。。😳😢😢😢 彼ピッピできた？？？笑笑
@4egI2  ありがとう😇😇 うららちゃんたまに大場駅でみる！笑笑
@NSBk7GOrX1uCbfd  じゅんちゃんありがと〜！！
@_____rr02  なんやねんwww 突っ込んどいてあげたよ💖
@t_m___xxx みのりんすありがとう😜💋
@katoyaya1222  ややありがと😆😍✌️💞💞
@sa_cha_xxx  そーなのね！なら良かったけど！笑 あたしもあのタイムライん見ながら叫んでたww
@mizutama64  かほっちありがと😘👑
@_____nemui____  いいだろ〜😝😝😝 ありがとう😚😚😚😚💞
@am_22_06  みお先輩！ありがとうございます😢💞
@sa_cha_xxx  うんwwえ！？は！？えーー！ー！！！！！てきなwww
@yui0708soralove  ありがと😆❕💖
@_____nemui____  うっす🦄🦄🦄
@ayari0105 あやりんもね😚
@2622_apple  ありがと！😜💥
@natsuki_atae  はーい！(((o(*ﾟ▽ﾟ*)o)))
@nanasega0119  やっぱいたよね！？！笑 話しかけようとしたけど、コンタクトしてなくてどっちか分かんなくて諦めた。。。😂😂😂 話したかった〜😢😢😢
@I_am_mirako  ありがとう😍✌️❕
@suuuzu0916  ずっずっずずずずずっな〜😙😙 ありがとう😝🖖🖖💞
@Nn_m_n_1  え！見に来たらラブラブさに失神しちゃうよ😂💥💥💥 え！もーはやくまりん先輩の彼氏に妹ですって紹介したいわ、、、
@sa_cha_xxx  うん、、やっぱりかってかんじだけど笑笑びっくり笑笑
@yuit_37  任せて😙😙😙💥
@nanasega0119  ありがとう〜😍 あたしもー！！！！
@ss_ha_  あいかちゃんありがと😝😝💞
@Nn_m_n_1  いやあ、彼氏はまだかなまだかな笑笑
@_____rr02 😒😒😒😒😒
@n121108 青チンありがと😆😆🖖💥
#0号室 #記念日#💑 https://t.co/SlexFGXUPs
@Rikkun_1013  ありがとうございます😚 違いますよ✌️あたしですよ😄😄👑
@knk_mzk  きちちゃん。。。😆💥 ありがとう😳😳💞
@miho120807  ありがとう💖😚 これからものろけ話付き合ってね😍😘😘😘
@cQ2k4exBY0QRWqA  あざあざ😄✌️
@323_akane  ありがとうございます😳💕💕
@tkd__59  おつかれんありがと〜😇💋💋
@____pkhty9  30分おくれ。。。😂 ありがとう(((o(*ﾟ▽ﾟ*)o)))💖
@_kwyk はーいっ！😇
@Ayaho0614  あにほーーーっ😜🖖🖖 にやけた？にやけた？ がいあくんの顔みた時と同じくらい？😆😆😆
RT @sa_cha_xxx: きょう、まゆ先輩萌花先輩お久だぁ～💗💗💗 きょうやっぱテンション好き🙄 先輩達も可愛すぎ…💓😂💓
@sa_cha_xxx  やっべ！久々だったね😂😂😂
@moe4230  だって嬉しすぎて飛び跳ねちゃうもん！笑笑
@bake_0004  ありがとう😆😆😆😆✌️ 恥ずかしい🙊🙊😚💞
@miho120807 さすがみほりん💋💖😳
@Ayaho0614  いーやあこの前のLINEは何だったかな？？😙
@haachamin0727  ありがとうございます😆💖 昨日見かけました！笑
RT @knk_mzk: @BB_SNSD_  きょうちゃんおめでとう！👫💓 お似合いカップル🌟 末永くお幸せに…😌💭
RT @miho120807: @BB_SNSD_  おめでとう💜 毎日毎日幸せそうで😂 これからも愛し愛され続けてね😘
RT @_M_3939: @BB_SNSD_  きょうちゃんおめでとう！🙇🏻♡ すごく幸せそうでうらやましい！
@mm__0521  この前あっちゃったね😂😙😳 ありがとう😢💕💕
@haachamin0727  そーです！！笑笑 話しかけようとしたけど、やっぱり緊張して無理でした！！！笑
@sa_cha_xxx  あたしもよ✌️✌️💞 またゆっくりはなそ！！
@Ayaho0614  スクショして載せちゃう？♥
RT @kor_celebrities: 「BIGBANG」G-DRAGON、SNS更新。指ハートの元祖?! https://t.co/jOOaXLuxLP
RT @sshota0227: 本日発売日ということで、このツイートをリツイートしてくれた方の中からどなたか一名にサイン入りCDプレゼントします✌ https://t.co/WIEtqEaak7
My booやっとフルきたああああああああああああ😆😆😆✌️💕 待ってました待ってました🖖
@ami1020ami  ありがとう😳💞💞
@haachamin0727  じゃあ、あたしはぺこぺこしますね😂💖
RT @BB_SNSD_: #O919  #☀️☁️☔ #Sizuoka  ずーっと楽しみにしてた静岡😢 わがまま沢山きいてくれて🙄❣️ 変なｺﾄしかしてないけど(笑) やっぱり優男だった1日😏😋✌️ ほんとに楽しかった幸せ😳💭💕 ありがと〜う🙈❤️💛💚💙💜 https://t…
