RT @hayato_tritone: 髪を切った。サイドをバリカンで刈り上げた。ちびっと、染めた。夏モードだー。わいわい(=´∀｀)人(´∀｀=) http://p.twipple.jp/tmKW7
成田空港なう。バイバイ放射能。 http://p.twipple.jp/d9KgR
@sanapon1020 救援物資待ってます（＾＾）
@akatsuka24 かろうじて生きてるよ！会社も自宅待機で学級閉鎖の気分（＾＾）来週は参加するよ！
@akatsuka24 放射能で髪の毛がやられその上にスタイルして蒸れてはげになってしまいます。
kosukeは健全か変態か？採決結果⇒【健全 40003票｜変態 40000票】よって「kosukeは健全」と多数決で認定しました。 http://shindanmaker.com/91892
#39さん　明日は業務でガソリンスタンドに行列です！40Lくらいくすねること出来ないっすか？
現地ルポ・振り切れた測定器の針 ジャーナリスト豊田直巳氏(共同通信) - エキサイトニュース http://t.co/NTRPBZ2
@club_steelers ＃３９さんありがとうございます。明後日までまってみます！！
とうとうスマホデビューなう！
@sanapon1020 MEDIASだよ！
乗ってる電車の急な行き先変更！！ 南浦和にいくはずが、赤羽止まり。 それなら、上野で知らせろ！
RT @sts_yoshida: @me11gu @kosukek47 知ってると思うけど俺なんか超肉食ですww
@physicss 母校なんで残念でした。
@hayato_tritone 新生活スタートだね！
ガソリンレギュラーリッター188円て郡山市民ばかにしてんのかな？
@hayato_tritone ホントだよ。足元見る営業してるとこなんて二度と行かない。野球はどうだったのかい？
@hayato_tritone @kosukek47 昨日うちの母校も甲子園で負けてしまいました。
@hayato_tritone @kosukek47 残念な終わり方だったよ
@Jin12QB @kosukek47 水も品薄なので放尿で薄めます。仁さんの車にもいかがっすか？
朝から緊急地震速報。大分回数が減ったけど。
@Jin12QB @kosukek47 自分の屁の数倍強烈です。仁さんのエジプト行きは当分延期ですか？
@Jin12QB @kosukek47 それなら今季は完全出場ですね！たまには福島県にもきてください
RT @hajiox: こういう情報はどんどん拡散！ RT @yasumatsu73: @hajiox 思い込みですよ！昨日も書き込みましたが、福島県アンテナショップの野菜の売上は昨年の今時期の１，３倍とニュースでやっていました。買う方は福島県を応援したい、とインタビュー ...
@club_steelers 参戦したいけど、生憎金曜日から出勤再開みたい。何時から？
@nakamuraya_kasi クリームパンも安曇野酵母のかりんとうも更においしくパワーアップしてましたね！もっと買っとけば良かった！
ウラデンフェスタ、来年も行きたいな。 http://t.co/JC5UADLf4L
@kwarai_steelers これから神田に向かおうかな・・・
@GooglePlay
去るもの拒まず？くるもの拒まずだろ！ (@hayato_tritone ライブ http://moi.st/13e428 )
ハードルあげるな (@hayato_tritone ライブ http://moi.st/13e428 )
音痴。 (@hayato_tritone ライブ http://moi.st/13e428 )
郡山なう。白河の関を越えると街が元気ないように感じる。
停電かと思ったらブレーカーが落ちただけだった。
@physicss @akatsuka24 @kosukek47 皆さんご心配ありがとうございます。
福島激震
またきたー
原発は今の所異常はないようだ。揺れはひどい！
@sanapon1020 車運転中の緊急地震速報は怖いね！
@sanapon1020 いわきにいなくてよかった。
@akatsuka24 地震が多くて眠れない。まったく。
さいとうあさみもん (@hayato_tritone ライブ http://moi.st/14f869 )
めぐぴー (@hayato_tritone ライブ http://moi.st/14f869 )
おしい (@hayato_tritone ライブ http://moi.st/14f869 )
ホワイトデーに愛してるソング！ (@hayato_tritone ライブ http://moi.st/14f869 )
ゆっこ (@hayato_tritone ライブ http://moi.st/14f869 )
もしかしてあれ？ (@hayato_tritone 下からみたこれはなあに？ http://moi.st/14f869 )
むだづかいの機械 (@hayato_tritone 下からみたこれはなあに？ http://moi.st/14f869 )
ウルノカヨ (@hayato_tritone 下からみたこれはなあに？ http://moi.st/14f869 )
あのちぃちゃんね (@hayato_tritone ライブ http://moi.st/14fa3b )
あんなことした？ (@hayato_tritone ライブ http://moi.st/14fa3b )
うわさのあのこは？ (@hayato_tritone ライブ http://moi.st/14fa3b )
@akatsuka24 こちらは震災太りで5キロ増量。
緊急地震速報キター
@hayato_tritone 六時だよー
@hayato_tritone 俺もこのくらいの時間に勝手に起きてしまう
ｸﾛﾀﾞもでます (@hayato_tritone リクエストしてね http://moi.st/152177 )
働けよ！ (@hayato_tritone 職場へ戻る30分 http://moi.st/154716 )
小柳ルミ子？ (@hayato_tritone 職場へ戻る30分 http://moi.st/154716 )
34歳の男てす。 加齢っしゅ (@hayato_tritone 職場へ戻る30分 http://moi.st/154716 )
パクロス？ (@hayato_tritone 職場へ戻る30分 http://moi.st/154716 )
はやとさんは田中邦衛のものまね得意らしい。 (@hayato_tritone 職場へ戻る30分 http://moi.st/154716 )
食べる前に？ (@hayato_tritone 職場へ戻る30分 http://moi.st/154716 )
ボケだけじゃつらいね。一人だと (@hayato_tritone 職場へ戻る30分 http://moi.st/154716 )
今歌いなさい (@hayato_tritone 職場へ戻る30分 http://moi.st/154716 )
こんばんは！ (@hayato_tritone ９時からラジオ生放送 http://moi.st/156228 )
あほキャス (@hayato_tritone 眠気を吹っ飛ばせ http://moi.st/1585f0 )
@Dqh2weBOKsoU7tf 元気？飲もうよ！！
声が小さい！ (@hayato_tritone ライブ http://moi.st/169885 )
@marilyn_mayfair m　はやとのつたないキャス見ていただいてありがとうございます！
@sanapon1020 なんで？
@hayato_tritone 仕事？
@hayato_tritone 奥さんお出かけなのー？
@eYokko_3 まんまとはやとにやれました(^^;) 今日ははやとのマスコミデビューです！佐賀のNHKにあほづら映るかもです！
@TYO_KID 佐賀駅で満員の特急からイケメン男に落とされそうになる図
@TYO_KID @eYokko_3 故意的かは不明であるが、NHKのキャメラマンは微笑んでいた件
@TYO_KID 佐賀は福岡県と発言してローカルでも大問題になった噂
おばかが寝てる。 http://twitcasting.tv/kosukek47
@eYokko_3 いま、福島県の阿武隈サービスエリアに着きましたよ！！佐賀から福島県の陸上移動は結構きついです！東京駅でバス待ちの間東京駅の東京ラーメンストリートの六厘舎でつけ麺食べたらバスに乗り遅れそうになった。
@eYokko_3 バスですよ！到着は23時位の予定ですよ！
@hayato_tritone ちぇ、ばれたか。。。
@eYokko_3 いま、家に着きましたー。いろいろと本当に本当にありがとうございました！！
@eYokko_3 よろしくお願いいたしまーす！！
埼京線赤羽駅三番線の非常停止ボタンの扱いで運転停止。なのに下りは動いてる。安全第一はわかるけど、腹落ちしない。
@TYO_KID えっ？今日は福島です！！本当にごめんなさい。。。
@eYokko_3 今日は福島にいるんです。。
@TYO_KID わたし以外のものががんばってます。また東京もどる体力に余裕なくて、すいません。。いままさかアミノですか？
@eYokko_3 今日は仲間が頑張りますよ！
@TYO_KID　TYO_KIDさんにはお詫びに秋のＸ公式戦のチケットを送付させていただきます。
@TYO_KID 大変ご迷惑おけしましてすいません。 次の試合は八王子で遠いんで、秋の公式戦お待ちしていますねっ！
@eYokko_3 CLUB STEELERSです。
@TYO_KID 本当はわたし以外の選手も応援していただきたいので！ぜひアミノまで！#24赤塚選手がアメフト歴2年ですが、素晴らしい走りを魅せてくます。入場料はたしか、チャリティーだったような。
@TYO_KID 凄い！よくご存知で！！結構遠いてすよ！
@eYokko_3 ありがとうこざいます。はやと先生はクルマで居眠りです。
@TYO_KID そんな大雨でしたか。。。
@TYO_KID 観戦よろしくお願いします！
こうさく (@hayato_tritone 久々帰りドラCAS http://moi.st/17612c )
RT @up1down2arty3: こ の お 菓 子 食 べ た こ と あ る 人 は 公 式 R T  。  http://twitpic.com/4touby
どどすこ。ラブ注入 (@hayato_tritone 雨の帰り道 わっしょい http://moi.st/17cdc2 )
@hiromeno_deco 同世代にももててますよ
@hiromeno_deco 飲みにいかない？
「安易に大病院に行かない」ことを推進する診療報酬改定の意味（ダイヤモンド・オンライン） - Yahoo!ニュース https://t.co/IgXhm975vb #Yahooニュース
@eYokko_3 運動会雨ですか？風邪引かないようにしてくださいねっ！
パンがもちもちして、ベーコンの存在感はたっぷり。おいしいっ！ #クラブハウスバーガー https://t.co/wqGXKPwjba
京浜東北線が3分遅れ→赤羽 池袋駅で非常停止ボタン→ 板橋駅で非常停止ボタン→ 十分遅れで埼京線赤羽駅出発←いま
@RyoYuMaru こんばんみ(;o;)
@olieve_uni もしよければどこのスーパーか教えていただいてもよいですか？
@olieve_uni ありがとうございました‼
#茜霧島 #赤霧島 #入手困難 https://t.co/zS3BQq75SY
@TYO_KID good afternoon, everyone.
@TYO_KID 今日は中止になりました！
@sanapon1020 待ってるよ。首都！
@sanapon1020 アイラビューベイベーふぐしま
地震@ハワイアンズ
@hayato_tritone ハワイもゆれゆれ
@hayato_tritone スパリゾートハワイアンズ。女の子の◯も揺れ揺れ
@hayato_tritone 一度はおいで常磐ハワイアンセンター
｢言い訳させない上司｣は成果を上げられない 部下とのその距離感､大問題です！ | リーダーシップ・教養・資格・スキル - 東洋経済オンライン https://t.co/PXgQ9GUKGV @Toyokeizaiさんから
31歳シンママ会計士が説く｢超コスパ勉強法｣ 17歳で妊娠､DV､離婚にめげず27歳で合格 | リーダーシップ・教養・資格・スキル - 東洋経済オンライン https://t.co/vJyjsUlSZn @Toyokeizaiさんから
@manamo_n60 ほんと良かった(^^)v
@hayato_tritone おバカの鬼q(^-^q)
@Jin12QB 元気っすか？
@manamo_n60 走らないのかい？
@Jin12QB まさか埼大？り災証明取れたので来週から復帰します！
@manamo_n60 呑んでるかーい？
@manamo_n60 強くなれー
@manamo_n60 いつか強くなるよん！強くなったら待ってます！
@manamo_n60 元気かい？
@manamo_n60 寝れば変わるさ
@manamo_n60 終わったかぁー？
なに見つけたノー？ RT @eYokko_3: @hayato_tritone  あれっ？いいものみーつけたー♡♡♡
#東京マラソン
@eYokko_3 おはよーございます！！なんだか朝から大洪水です！家から出れない！！
@eYokko_3 http://p.twipple.jp/QNnr9 こんな感じでしたが、大丈夫でしたよ(^^)v
@eYokko_3 さおりちゃんによろしくお伝えください。ちなみに普通に出勤でしたよ(&gt;_&lt;)
@eYokko_3 あれ、珍しい(^^;)
@eYokko_3 許してくれー
@eYokko_3 でたー！お酒をください！
@eYokko_3 本当に申し訳ございませんでしたm(__)m
RT @club_steelers: 【再・緩募】スティーラーズでは、７月１０日(日)に鉄人・キヌガワ主催で千葉県市川市にてBBQを行います。アメフトやってみたい方、スティーラーズのことが気になる方、QB猪股に説教してやりたい方…等々興味のある方いましたら是非お問い合わせ ...
@hiromeno_deco あらなくなってしまったのね！
@club_steelers なんかややおしゃれじゃないですか？
