傑作w  結構写真撮ってる人居てたw https://t.co/bB392Fwuxv
RT @CocaColaJapan: 体についた脂肪を減らす ＼#からだ巡茶Advance／ 1/30新登場！Twitterユーザー限定で 1万名様に発売前にプレゼント。 応募は12/20まで！ ①この投稿をリツイート ②応募フォームに入力→ https://t.co/gxfb…
@yuuyakemegami  人の振りみて我が振り直せ やなぁ😵 でもホンマあることないこと言われるのは気分悪いよね💦
中居くんに貰い泣きした😭
━━━━━━━━━━━ 🌟お年玉1万円が当たる🌟 ━━━━━━━━━━━ マンガを読んで📖クイズに挑戦✌ 現金1万円が当たる!?🎁  参加はこちら⇒https://t.co/WO8a1QACyQ #LINEバイト #バイト先への電話が死ぬほど怖い
@Teruma3  聴いてました🎵 メッセージ、番組内には間に合いましたが(笑) 丸ちゃんのshirushi 終わってからでした🎵 でもホンマ丸ちゃんラジオしてください♪
@Teruma3  また仕事中こそこそスマホで聴きます(笑)
@yayoiboshi  前向きな弥生☆さん 素敵だと思います！ 是非とも歌ネタ芸人を突き詰めて下さい♪
@Teruma3 @yuuyakemegami  時間合えば行きたいなぁ🎵
@Teruma3  またまたスマホをセットしなければ(笑)
@yayoiboshi  ずっと応援してます！ fightです！
@Teruma3  おはようございます☀ 東京も良いお天気ですね🎵
@yuuyakemegami @Teruma3  コソコソしか聴けんかったけど、丸ちゃん長くてよかったよぉ💕  フライングメッセージも出来たし(笑)
@Teruma3  コソコソ聴いてましたよー😉 途中仕事してましたが(/´△`＼)
@Teruma3  来週もフライングメッセージします(笑)
@TMaruishi  体調壊さないようにして下さいね✨
@tanabe_taizoh  前半はまだ仕事中ですが、スマホでセットしときます🎵
最近ハマッてる シャーペンでお絵描き  似てないからごめんなさい(/´△`＼) https://t.co/b1gWgVdBc3
なんとなく特徴捉えてるつもりでも まだまだやな( ´△｀)  これまた似てないからファンの方には怒られるかも(;´д｀) https://t.co/TPsGvSe1bB
@AWv9u  鍋食べたい😆
@TMaruishi  これは美味しそう😍  丸ちゃん二枚食べました？🌠
@yvLDPLVVfPnVQ4j  これは水色やろ 恋？鯉？ 濃い？
@AWv9u  日曜日から月曜日寒くなるらしいよね(;´д｀) やだやだ(/´△`＼)
@TMaruishi  ホットケーキは意外とボリュームありますもんね(゜ロ゜)
@yvLDPLVVfPnVQ4j  おおきによ🍊
@TMaruishi  ちょっとだけ ホンマにちょっとだけですが お好み焼きに見えました(笑)
@TMaruishi  二枚目のは かなりクオリティ高いです🎵 シロップの掛け方とフォークの位置がプロ級でしたね✨
@yvLDPLVVfPnVQ4j  ずっと知ってたけどよ(笑)
@MaruishiT  おはようございます☀ あたしはトイレがしたくて目が覚めてしまいます(/´△`＼) 一応同じトイレ繋がりの目覚め(笑)
@MaruishiT  まるちゃんも？？ 仲間や😆✨
@yvLDPLVVfPnVQ4j  始めて直ぐに気付いてたけどな(笑) 敢えてや(笑)
@tanabe_taizoh @ameba_official  めっちゃ良かったですよー！
@yvLDPLVVfPnVQ4j  素性バレるからな(笑)
@MaruishiT  映画も堪能出来たみたいで良かったね✨
@yuuyakemegami @MaruishiT  深澤さん おもしろい(笑)
@MaruishiT  なんとかメッセージ出来ました🎵
@MaruishiT  さっきしぃちゃんからも電話あったよぉ🎵 もぅ応募したって言っといた(笑)
仕事変えようか 本気で悩む
@yuuyakemegami  店を変えようかと(笑)  で、一年か二年して独立を(笑)
@MaruishiT   美味しそー💕
@MaruishiT  天津 木村さんを思い出したのはあたしだけでしょうか(笑)  イケてる気がするー❗
眠い 指痛い  バリカンで指切ってた
@MaruishiT  スマホで聴いたんですが、最初、あたしのスマホ、無音になってたのでボリューム上げたら聴けました🎵
@MaruishiT  めちゃくちゃ面白かったです🎵 おっぱい饅頭二個(笑)
@yuuyakemegami @MaruishiT  来週も楽しみぃ🎵 でも仕事や😭
@MaruishiT  おばあちゃんのチョコの行き先 ちょっと気になる(笑) てか 丸ちゃんの目の付け所が可愛い(*^^*)
@MaruishiT  まるちゃんの新曲めっちゃ楽しみぃ✨ また弾き語りで聴きたい♪
寒い 鼻が冷たい
@MaruishiT  オープニングから興奮してました(笑)
@kaefebbraio  失礼します。 もぅ譲ってしまいましたか？
@yayoiboshi  友達が難波に居てるので 見に行って来て！と思わず言ってしまいました(笑)
@yayoiboshi  友達行ってます✨ https://t.co/K5h5MhD98x
@yayoiboshi  お疲れ様でした🎵
@yayoiboshi  弥生☆さんと話したって言ってました🎵 ニット帽にニットワンピみたいなの着てたと思います(笑) 警察来てビックリしたらしいです😱
@MaruishiT  まるちゃん一番下の部分は捨てた？
@MaruishiT  ジュリエッタw 浮けましたがなw
なぜ報道されないの？震災時に個人で10億円支援を即決した張栄発さんが死去 https://t.co/Yq7oTXge6d
行ってきたー https://t.co/llCoudmEJO
＼🌟日給20万円のオファーに挑戦🌟／  ①本気で怖い!? お化け屋敷 ②本気で難しい!? ホームラン ③本気でつらい!? ドミノ並べ ④本気で厳しい!? カラオケ100点  みんなの投票でバイト内容が決まる✌ https://t.co/IgG4lFWfNr  #LINEバイト
ブログを更新しました。『マサキ珈琲』 #コメダ珈琲店 #ミックスジュース #アメブロ   https://t.co/Z4EE10iosO
昨日泉南のほうの コーナン羽倉崎店にて、バイクのプラグの交換をするのにボックスレンチを探してたところ 店員さんに聞いてもなかなか自分の持ってきたプラグに合うのがなく 試行錯誤してたところ近くにいた繋ぎを着たお兄さんに これじゃ合わないよ と教えてもらいました
カー用品コーナーにあると思うよと教えてもらい、カー用品コーナーへ そこでも店員さんに聞いたけどイマイチわからず悩んでいると 先程のお兄さんがきて親切に合うやつを探してくれました！ ホンマ助かりました！ 感謝です！
仕事あと10連勤… たまらん
