ネコッター開始 https://t.co/4RlxMR2Rbk
寝相調整中 https://t.co/XtGPKfjBmP
さらに調整 https://t.co/SOqw0Ka16C
地震でめざめたので、おうちに入れました。
朝ごはんが遅くなったからか、暴れん坊や。でもしっぽはピン。 https://t.co/m39QCkEtLo
ほんとうに、仔猫でなくなって、去勢もしたら、落ち着くのだらうか…
RT @nekoazukariman: 外出してるときに、猫とラインできたらいいのにな〜って話。 https://t.co/vq5m2oabUq
せっかく一日中ゲージのドア開けてるのに、ずーっと寝てて遊んでくれなーい
日中めちゃんこ寝倒したので、カミブンフルパワー。で、疲れて放心してるネコタさん。 https://t.co/IJM7qY5XQr
(ಠ∞ಠ) この顔文字、めちゃネコタやなಠ∞ಠ 特に目がಠ ಠまさにこれ。
ほら、このかおಠ_ಠ https://t.co/nHIUJh9PO3
ネコタさんがちょこんと座ってるとこ撮らせてくれたの、はじめ…て……ゎぁぁぁ｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡ https://t.co/ssBzWTF2MV
この顔であるಠ_ಠ https://t.co/boSFjLIpDZ
にんげんくんがオンボロPCを復活させて、一眼で撮ったネコタさんの写真を見られるようにしてくれたಠ_ಠ https://t.co/ruj2jOIDeG
うちに来たばっかりの頃の可愛さよ https://t.co/LWWQZC83Nd
うちのネコタさん、かわゆすぎやしませんか！！！ https://t.co/n6R4F9iouu
あーきゃわゆいಠ_ಠ（親バカ） https://t.co/E79WaSyVb0
油断ならないಠ_ಠ https://t.co/pDTzwGSBmc
ときどき公家ಠ_ಠ https://t.co/isOdM427ZM
@raitomama0407 うふふ( ˊ̱˂˃ˋ̱ ) ただよう公家感…( ˊ̱˂˃ˋ̱ )
@chan_mosa81 こちらこそありがとうございます！無言フォローすみません😓 よろしくお願いしますಠvಠ
ಠ_ಠ https://t.co/xjZpiCDnRY
かわいいなー このあとどんなに噛まれたってかわいいなー https://t.co/klzq9tBoRH
今日のネコさんはずいぶん甘えん坊や。ゲージからだしてしばらくほっといたらおんぶネコになりました。その後だっこネコへ。 https://t.co/RaSUkJtuqM
申し訳ないけど、オザケンの間おうちに入ってて！
オザケンの間、きわめて静かにシューシューと寝てたネコタさん、わかってるやんけ！
RT @TOKO_0822: 寝ておる 可愛い https://t.co/XYAWyKgE52
写真撮れなかったけど、アフラックのアヒルにめちゃ威嚇してた。かわゆ。
そしてアヒルをつかまえられなかったネコタさんは私に八つ当たり…｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡
にんげんの手を噛みたい！と狙うネコタさんのご様子 https://t.co/uVBvk6TBC1
いつも噛み噛み防止のために靴下とスリッパ必須のにんげんがめずらしくハダシでゴロついてるのが気になるのか。 そんなに丹念に舐めまわさないで…｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡ウットリしてるから逃げるの気がひけるし｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡
なにもiPadの上で敏感なとこのお手入れしなくたってよくない？ https://t.co/VEVtdeJYS5
突然はじまるナーメナーメ大会 https://t.co/gFAos91TNw
ナーメナーメ大会、急に終幕 https://t.co/VYb94iYVHt
そして すいみん へ … https://t.co/aomTSyR6zI
iPad、返してくれない… https://t.co/oXjeYuOgiI
本気で寝はじめた…iPad…｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡ https://t.co/bw3UFESiI4
いつもより早くにんげんが帰ってくると、遊んで遊んでと鳴いて近づいてくるが、近づきながらさりげなくノビしてたり目がシバシバしてたり。今まで寝てたのバレてるで。
蝶のように舞い、蜂のように刺す！ https://t.co/GVKnMt4lPq
その割に、いざ仕留める圏内に入るとヒクのなんで？ https://t.co/iYxCY9GAp7
うちのひとは、基本的に常にしっぽがピンとしています。ハッピーきゃっと。 https://t.co/p4zAc3QW33
ねむいんだけどぉ、あそびたいのもほんとだしぃ、でもぉ、おいかけるほどのげんきはもぉないしぃ、 という状態です。ご査収ください。 https://t.co/oebNX7fvJ4
ごろごろしているにんげんの背中に乗り、肩に手をかけて、耳に息をふーふーかけてくる系の猫。昭和のエロスタイル。オスというものは。
RT @TOKO_0822: 幸せそうな顔… https://t.co/JWQk1rgoFn
うちに来たばかりの頃はこんなにあどけなかったのに https://t.co/7uI38rTDya
今じゃこんなにワガママ坊やで…  はぁ？ごはん食べてんのジャマすんなし！ https://t.co/qQnrkER9al
RT @neko_daisuki3: #猫 ♡かわいぃ～♡ 「ネコ」ッ来るワイパー♪♪https://t.co/1JqWTyOWI3
猫さんは気ままだねぇ。 ゴロゴロ甘えつくしてると思ったら、プイッと出てって、おもちゃ追いかけ回してドタンバタン。  きゃわ！
ネコタさんがいつも殺しているウサギさんが血まみれ！なに？病気？？歯の生え変わり？？？先輩がたおしえて｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡ お医者さん連れてった方がいいの？？？ https://t.co/HWbQIlGuNI
@russy_neko わー｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡ありがとうございます｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡ その後ラグの中から、犬歯と思しきものが発見されました。生え変わりかな？と思うんですけど、なんかものすごく殺気立ってるのでお医者さん連れてきます｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡
と思ったら、またゴロゴロしはじめて、出血ももうしてなさそうなので、ちょと様子見ます…
@russy_neko ありがとうございます、せんぱい｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡
@akecat55 こちらこそありがとうございます😊よろしくお願いします(´◡`๑) ♡🐈🐈🐈
@tokichan1961 こちらこそよろしくおねがいします🐈🐈🐈
かお が やばい https://t.co/kq5rY3diQb
午前中いっぱい暴れん坊やだったネコタさまが、ついにネコワッサンになりました（写真撮ろうとしたら少しほつれた） 長かった、痛かった…！ https://t.co/yn2VnW3TbA
RT @kokesukepapa: パソコンしてるとき、 横からのプレッシャーがハンパない https://t.co/oyDjrWCw2F
場所移動。 そのスリッパのこと、友だちか兄弟だと思ってるよね。 https://t.co/CnfMqxg60D
よりそっちゃって https://t.co/JXRI5fXjrD
かわいいなー https://t.co/prWOty6cyg
にんげんのみぎうでに沿って寝るスタイル https://t.co/1CA6isVTkp
ネコタの開きでございます。 ねこは、ひらくと、うすい https://t.co/VQCQEKmTMJ
@raitomama0407 にんげんがはいているスリッパを凝視していたみたいです🐈🐈
はっ 昨日のツイットで、一日中パジャマでソファから一歩も動かなかったことがバレてしまう…！
まだふぐりはかわいいサイズ感 https://t.co/Hdl2iCPVoV
にんげんとにんげんの間でねむるネコタさま https://t.co/SjdGCGat7j
噂の、ダイソーの猫を虜にするブラシを買ってみた
おなかを見せることなどなかったネコタさまが…！？ https://t.co/jiRL7tN1V4
あられもない…！ https://t.co/Ed6EQqfY0X
@catprincass そうです。さらに、このひとのなまえは ネコタ です🐈
なんだかセクシー https://t.co/JbUa2Qfo9Q
せくしー！🐈🐈🐈 https://t.co/UOZ41Ue2YN
実に猫らしい寝方🐈 https://t.co/pobN7FD7DG
ソファの空いてるところに座ることはおろか、ソファ前の定位置から離れるとご機嫌ナナメに目を覚ます系ネコ。にんげんは動くことすら許されません。
@kinakoko0301 やー🐈うれしいです🐈ありがとうございます🐈🐈
@IKerykyara ありがとうございます😊花梨ちゃんもかわいい😍💕
RT @kokesukepapa: 何時間もパソコンしてて構ってあげられなかったら、 突然パソコン本体に攻撃してきてビビった。  よく見たらツメ出てるし・・本気だ・・ https://t.co/667RU10nm8
@HOSHINEKO2002 島猫さん🐈ありがとうございます😊♡こちらこそよろしくお願いします🐈🐈
RT @hisuithecat: 新しい朝、はじまってます https://t.co/DRlYa5CnZQ
RT @sara_ryuuichi: モモきゅんのボーッとまったりポーズ♡   #のび猫さん写真募集 https://t.co/85cb6cUVcm
@ramos627 ありがとうございます😊🐈🐈
完全に立ってる https://t.co/vHI90bwdHJ
上の犬歯が２本同時にぬけた！！！！ 歯でさえ愛おしい🐈💕🐈💕🐈💕 https://t.co/yS2UtxIwkg
写真はありませんが、今朝、奥歯をゲットしました🐈
お友だちのスリッパさんと戯れた挙句のおひるね。 おなかのタルミが気になるお年ごろ。  改名  余川猫太（アマリカワネコタ） https://t.co/JFkIWsVcbq
まぶしいのか、テーブル下にゴロンゴロンと移動 https://t.co/OBfvcWuIyJ
にんげんたちがどいた隙に、ソファに移動。 https://t.co/jQifOoKZEQ
@neco_futoshi なんでいつも、読みたい本の上で寝ちゃうのかな〜
@neco_futoshi 訂正。 余皮猫太 でした🐈🐈🐈
@bubblegum0841 ほんとだ🐈うちのネコタさんよりエレガントな印象🐈
ソファはにんげんたちが座っているので、ネコタさんはうらめしく、にんげんのつま先を見つめるばかり。 そのテーブルには乗ってはいけないと何度言ったら。 https://t.co/VPqH1abr0a
なんなんだろう、このネコ https://t.co/93iLFKXTPt
かわいいんだけどさあ https://t.co/wQroZsmH6c
ネコタさん長いひもお気に入りっぽいんだけど、興奮しすぎて何かの拍子に首に絡まってしめちゃわないか心配 https://t.co/GP7t6ipBWI
とりあえず、もうひと眠りかなー？ https://t.co/qrMZYr6C5W
にんげんのいないソファはひろびろ使うタイプの猫 https://t.co/kUBTIeO9ki
こ、これが換毛期なのか…？ いままでファーミネーターにもほとんど毛がつかなかったのに、昨日今日はめちゃんことれる…！キリがない！ https://t.co/KbufAoNbGC
いいねえ、そのなんとなくくっついてる感じ、いいよ。でも触るとおこるんだよね、いいねえ。 https://t.co/OdZuuZatX9
満足そうで何よりです。にんげんが１ミクロンでも動くとごきげんナナメになるんですよね。 https://t.co/3BqZ3rJVtE
昨日はつめ切りの日。うまく切れないし、成長のアレコレ聞きがてら、近所の動物病院に通っています。 すくすく育って2.93キロ。だいぶ大きくなったにゃー
ネコタさん、ほぼ日手帳をめくって読む、の巻 https://t.co/baC2eWlGwk
@science_teache ふふ、ありがとうございます😊
ね、またにんげんの足にちょっと触れながらペーロペーロ大会ね https://t.co/iTTcsgIivH
なんか足がくすぐったいな思ったら、あっためてるな… https://t.co/ZC6Pbcy40M
そんでそのまま寝る！ にんげんはお洗濯干したいのです！ https://t.co/HMYeFgv0ro
スリッパを献上することにしました… https://t.co/IHXCZjg42C
にんげんがネコ部屋をはなれお洗濯を干している間に移動してた。 https://t.co/6TTK4zHxJb
かわいいおてて https://t.co/ZqwrCqpx22
ひなたに移動してペーロペーロ大会 https://t.co/sKAPOR95gX
隠し撮りに気づいてこの顔である https://t.co/dpk80MzXsf
#手うめー https://t.co/RVzShbXD7W
肉球サワサワされるのわるくないご様子 https://t.co/ylC69eOoCM
躍動感 https://t.co/5uyc7y36L2
隙あらばにんげんの手を噛んでやろうと狙いつつ眠気に襲われている図 https://t.co/vTGTsc0d0q
RT @tatuya01: 顎。 https://t.co/Xg3ap43Ipx
ゴロゴロしてると添い寝してくれるタイプのネコ でもにんげんはトイレの限界です https://t.co/F13HCz95F9
お、どいた
日当たりのいい場所に移動。今日はあったかいからねー https://t.co/3cOKUylWpK
ベロでちゃってるのかわいい https://t.co/ELpPkAmJKS
寝ておられますな https://t.co/mnUr9prXQZ
ネコタさんの毛でネコタボールをジワジワ成長させてます。もう少し大きくなって飲み込めない大きさになったらネコタさんにプレゼント🎁 https://t.co/tZUJYQXokQ
ネコタさんの肉球はスモーキーピンクです。 https://t.co/JHk8an8xef
にんげんが帰ると甘えん坊になる系のネコ https://t.co/3otgeduEIw
猫の 上アゴは 怖い https://t.co/NXW2Ej0QSg
ねこは つねに ねらって いる https://t.co/J4eNwTpqbg
ネコさんがまどろんでる間につめきりをしたのだが、それからペーロペーロ大会が続いている。違和感あるのかなーん。
結婚できない男を鑑賞中 https://t.co/74PWGwEXZi
３時間前 そろそろお洗濯を、と思ったところにやってきた灰色の毛玉 https://t.co/EFMoBFZLJ4
お洗濯を干し終え、休憩も終え、さてそろそろシャワーでも浴びて衣替えするぞというところに、やはりやってきた灰色の毛玉 https://t.co/QPCmaQQ2ar
午前中を怠惰に過ごし、さて、いい加減、そろそろ、と思ったときにはすでに、完全にマクラにされていましたの… https://t.co/sBiKfeIGrQ
あおむけで寝ています https://t.co/C1U6xzcBTF
そっと、太ももに、手をやる https://t.co/7HiFmsQynH
ざんねんな寝顔 https://t.co/u1InZNzMKJ
@raitomama0407 いやー、ブサでしょう笑  カワはないです🐈💔
@raitomama0407 そう言っていただけると🙇🙇‍♀️🐈
寝ているにんげんの上であくび https://t.co/OnieqdDNRe
セクシーショット、いただきましたよ https://t.co/nlQqEpAXAl
ヨーダ靴下を踏むネコタさま https://t.co/Mlza3c1DGv
RT @neco_futoshi: ネコタさんの毛でネコタボールをジワジワ成長させてます。もう少し大きくなって飲み込めない大きさになったらネコタさんにプレゼント🎁 https://t.co/tZUJYQXokQ
１ヶ月が経ちました&gt;rt https://t.co/Isk97akKUf
何この触りかた https://t.co/lpaER5398d
夕べおもちゃのゴムを飲み込んでしまったネコタさん。お医者さんに連れていったら、おそらく次のウンウンで出てくるだろう、と。食欲あるし元気もあるけど、そんなわけで本日はおっとりネコさま。おなか見せて甘えんぼ。かわいいけど、やっぱり体調… https://t.co/IR5dQk2d8S
@ramos627 コメントありがとうございます！ 今ウンウンとともに産み落としました！よかったー｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡ 出した途端にいつもどーりのワガママあばれんぼうオシャベリキャットです。元気が一番です｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡
@33maakun ありがとうございます😊ほんと一日不安でした…。気をつけます❣️
昨日より、ネコタさんの生活範囲をひと部屋増やしました。まだお互いに緊張感漂う感じ。。
のんびり起きて、部屋着のまま恋愛ニートを３人で見る日曜日 https://t.co/mCnxhRvmyO
RT @kokesukepapa: 玉々を一方的に見せつけられながらコーヒーを飲む朝 https://t.co/mfDoOINIAZ
ネコタさんがブラシングさせてくれない(● ˃̶͈̀ロ˂̶͈́)੭ꠥ⁾⁾ もう４日もしてないよ(● ˃̶͈̀ロ˂̶͈́)੭ꠥ⁾⁾
ほんのちょっとだけさせてくれた…(๑˃̵ᴗ˂̵)♡
ファーミネータやだやだーのふりして甘えるスタイル https://t.co/foHsPTE7gh
