葉山now波音聴きながらビールは最高 http://t.co/jqAmvAt
@housemegu 了解✌一緒にやりましょう
@housemegu めちゃめちゃ美味しそう(^^)食べたいよー
がーん😱インダクションレンジが動かない！リニューアルのチャンスか😁
自家製ベーコンにチャレンジ👊朝動かなくなったレンジが復活✌😄😁 http://t.co/CeWjAMA2
@yohey_62 腕と肝臓鍛えておきます😁😁😁
数年ぶりに食べた深夜のラーメン‼朝から胃もたれしちゃって、デトックスしたい。
@Akari_137me too!!自粛期間すぎたら是非飲みましょう（*^_^*）
@rika369 ありがとうございます。早速ハーブティーを飲みます。
@rika369 了解(^-^)/
@manbow1173 七輪で飲むお酒は最高ですよね。どこでもドア欲しいよー
今日もドイツパンを焼いたよ(^-^)友達にお土産にあげたら喜んでくれた😍嬉しいな💝
最近分かった。世の中の男、顔だけクラブはたくさんいること❕❕
@housemegu ふレッシュリース素敵だね。飾る部屋が映えます😉
@housemegu 嬉しいなあ😄陽のジャージをしまって飾ります(^_^)
@rika369 賛成！！楽しい心穏やかな日々が大好き。
@RJTKBIKES 我が家の壁に剥がしたカレンダー3枚貼ってます😰😰来年分もよろしくです✌🙏
今日は💆day いつもと違うの一言が嬉しい(^_^)
@housemegu とっても美味しそう（*^_^*）クリスマスにいいね
昼休みはヨガで、リフレッシュ😁
本屋さんでスープの本を買うはずが、ドレッシング本を衝動買いしちゃった(^_^)和風バーニャカウダーなど楽しみ。ドレッシングは手作りで決まり http://t.co/2l7S15sM
@RJTKBIKES 魚鈴に寄り、前を通ったのに残念です。
陽が長い中国出張から今日帰国。我が家のワインセラーが壊れたり、大好きなケツメイシが解散などメゲそうだから、美味しいご飯でも作ろう
羽田空港着(^_^)PUMAジャージを探そうっ
帰国したダンナと乾杯！「あー久しぶりの日本人女性と乾杯」だって。 良かった、日本人のいないエリアで。
自家製ベーコンを陽が初試食。カットしてだすとチャーシューにしか見えない。食べるとベーコン！着色してないからだよ
@housemegu 中国産ではありません、安心してお召し上がり下さい。
今日はケーキを2個作った。クリスマス用とワインパーティ用。 http://t.co/EmBsfq8x
久しぶりにアカデミアホールのミーティング参加
友達のお母さんがやってる食堂おかむら 初めて行ったけど、アジフライ、唐揚げなど絶品！場所は君津市小糸で定食がお勧めだよ http://t.co/2pRH0Leg
@moriyan131 教えてくれてありがとう（*^_^*）すぐに書きました。
@ryokosfjt_238 星を久しぶりに見たよ。ありがとう🌟🌟
鍋磨いたらピカピカ。20年使ってるように見えない(#^.^#) http://t.co/04vNXVX8
@yohey_62 今日朝から4時間走れるのかよーと言ってます
@housemegu @rika369  今年の締めくくりにふさわしい結果がでて良かったね‼おめでとう。
除夜の鐘、2つ目で年賀状が書き終わった...投函は朝ですが😰
新年初走りは高倉観音へ初詣now http://t.co/j68Yv4Ms
@RJTKBIKESそのメニューはカプリですか？
今年初バケットを焼いた。くっついてしまったが、いつまでも仲良くということで。 我が家のシェフがビーフシチューを8時間も煮込んでます。 http://t.co/0vmWBv6f
@yohey_62 関の初音のひつまぶしに是非行きましょう。
@ryokosfjt_238 たまちゃんおめでとう。遅れちゃったけど。
プロテインクッキーを作りました。なんと100gも入ってる😁 http://t.co/7pIBeLMw
結婚11年目のケーキ入刀！SPおめでとう🌟 http://t.co/soEZkmcw
アカペラでライブ🎺最高。小暮くんの🎸も痺れます http://t.co/skY4cD6U
小暮くん弾語りにはいりました(^_^) http://t.co/hfLe22YD
@akikosingsJazz サプライズが狙いだったから、ちょっと残念でした。but楽しかったし、皆のメッセージに感動しました。私もありがとう😄😄😄
@slowhand_up 本当に綺麗！満月かな？
@komihagahumiga 美味しそう。赤ワインも‼
@Akari_137 和菓子好きな私に今度教えて下さい
今日はチキンを塩麹で味付けし、七輪で焼いてみた。超美味しい😍 http://t.co/UUMkqgW9
続いて、お餅〜！ http://t.co/tkHcod7f
@RJTKBIKES 女性大臣はゼロ？...あ～淋しい
磯辺巻をたべてる間にバケット焼けたー http://t.co/wS0GJrSH
残り火で、チーズ焼き。美味しいんだなこれが。 http://t.co/beZ0lC5T
RT @yohey_62: @komihagahumiga 僕も15時のバスで品川へ！
今朝はなぜかゆとりあり。優雅なCoffeetime。
@moriyan131 凄いね😁😁完成品もみたい。
寝る前のクリームＬＸ 香りが最高🌟
@ryokosfjt_238 確かに。ガスでも換気扇を回さないほうがいい色に(^_^)
おはようございます。久しぶりの雨です。昨日、左の耳下にコリが出来てビックリ😲リンパマッサージをしたらなくなり、Ｗでビックリ😲😲
昨日は年に一度の子宮ガン検診を受けた。アラフォー身体のケアも大事だね
@akikosingsJazz 無機質な空間で響き渡る心豊かなAkikoの歌声、素敵です。
ブォーナセーラ！イタリア選手到着😁😁 http://t.co/t1W4y9iT
@RJTKBIKES 今やってると思います
真さんありがとうございました。久しぶりに運命の分かれ道を読みました。みんなで祭りを楽しみます🌟
美味しい料理の後は、モルトウィスキーで。つまみは大好きなロッテ Bacchus
@ryokosfjt_238 行けてよかったね。カフェでおいしいもの食べてね
@Akari_137 昨日はありがとう。陽にあーちゃん宅自慢したら一度伺いたいと言ってます。
@Akari_137 ありがとう。是非寄らせて下さい。昨日は写真みて盛り上がりを感じました😁家にも来てね。七輪が待ってまーす😄
あーちゃんのドイツパン七輪で炙りました。 http://t.co/gzqVpwiG
くるみ入りドイツパン完成 http://t.co/bRJ5m63p
@Akari_137 あーちゃんのパンにはおいつきませんが。すでにワインが1本あきそうです。
@Akari_137 大歓迎(^_^)是非🍺🍺🍺
歯医者に行くから有休なのに、なぜか早起き。しかももう自転車の格好！？予約は夕方じゃなかったけ？？
@Akiko_37 了解🍺🍺🍺🍺🍺
20分ヨガタイム。このCDがリラックスできる http://t.co/Ztv1nzzM
今日のディナー。ゴボウのペペロンチーノがはまる美味しさでした。
シンプルなゴボウペペロンチーノだよ http://t.co/mia5lVAG
地震だー。
@housemegu 本社で格好いいね。
ボルボの展示を見ながらカフェタイム。天井高くて気持ちいい http://t.co/fbCavCDn
ワンピースを読み始め、62巻まで読んだらあと2冊。さみしいような、続きが待ちきれない😁仲間って素晴らしいね🌟🌟
RT @ttama: 海が見える丘の上のカフェで http://t.co/K3ifjpP5
@ttama カフェに行きたいと思ってたら、投稿の本人登場.,.肉屋でバッタリ😁
今日は寒ブリの刺身から。旬のものは脂がのってて美味しい😁😁ご飯が🍺がすすむ(^_^)
カールスモーキー石井、、、じゃなくスモークチーズができました http://t.co/eso4da0G
@rika369 美味しそう😃😃😃
@ryokosfjt_238 素敵！写真に癒されました。行きたいな
急に電話が入り、ダンナが通勤途中に車に接触されたと(*_*)休みをとりかけつけると元気なダンナと動かない自転車が・・・ホイールがダメになってしまったけど、体に支障がなくて良かった。（*^_^*）
@komihagahumiga 私も川崎のレースの時、あまりにも重くてびっくりでした
@rika369 納得！！環境変わってから早寝になり体重も安定してるし肌の調子もいいから（＾－＾）
久しぶりに血液検査の結果をみたらγ-GTPはOK。BUTコレステロール値が少し高い。食生活を見直してみよう
@rika369 最近、肉・チーズを食べることが多かった。野菜中心とサプリをきっちり食べよう。
モリヤンに教えてもらった たたきごぼう作りながら（超美味しい）バケットを焼き、タルトタタンをIRにかけ、イワシのシソ巻きを揚げ、、、勢いで作りました😰😰😰
焼き立てバケット http://t.co/3Jb6Mmtl
@rika369 基本ぶきっちょなので、褒められると嬉しい☀
@rika369 よーくわかりました。動物系を控え、昔の日本の食事ですね。あと炭水化物も気をつけます。
@rika369 はい！本当食事だけでは無理ですよね。いつまでも美味しい物やお酒を楽しみたいから健康keepですね。
@Akari_137 ももちゃん頑張れ！
チームの朝練参加。練習後の栄養補給はこれ http://t.co/io77kzwq
ttamaさま頂きます(^_^)塩麹につけた鳥ハムに柚子胡椒＋オリーブオイル。美味しい http://t.co/OcRrcB3W
さっきのチーズを削ってもらい、最高のつまみです。チーズの重さは20kg以上！ http://t.co/HkgGGBFv
仕上げはカルボナーラ。 http://t.co/0sWlyRwL
@rika369 はい、美味しいです。今日はカロリーが大なんで今自転車で消費中です。明日からヘルシーに😰
フランボワーズのビール美味しい(^_^) http://t.co/cMSjfVgT
@akikosingsJazz います。チェリービールが美味しい http://t.co/FXtjtB0o
美味しいモーニングを頂いてます。かすみ草がブルーでビックリ^_^ http://t.co/1UkcF6A0
今からあそこへ http://t.co/yHiBeZQi
伊予ケ岳2個目の山頂にて。大島も見えた http://t.co/yUqJxubP
ホィットニー、ショック。48歳でさようならなんて。
今日は運命の出会いを聞いて、他人事だけど、ワクワクドキドキした。人生何と出会うかで変わるよね。
@RJTKBIKES高層から見えるのは市役所だよ
@ryokosfjt_238 私もご馳走になりたい😘
@yohey_62 花見はいつですか？
@yohey_62 是非満開になったら教えてね✌
@ryokosfjt_238 嬉しい💝💝💝
おはよう✌早起きできた。窓磨きしよう🌟🍀
@Akari_137 直美ちゃんは毎日やってると聞いて刺激されたよ😄磨く前にマッサージクリーム塗り、窓も顔もピカピカ✳
@RJTKBIKES 本当ですかー残念😱とっくり屋は延期ですね。
世の女性達に負けじとチョコブラウニー作製中！出来上がりが楽しみ😍私が
@ryokosfjt_238ええな〜食べたいとだんなが言ってます。me too✌
@ryokosfjt_238 土曜日に、練習帰りかに寄りますと言ってます(笑)
ブラウニー完成。味見しちゃった。赤ワインがすすむなあ http://t.co/Uw8FzCZL
@ryokosfjt_238 嬉しい😁😁😁
@ryokosfjt_238 今度乾杯しましょう🍸
@Akari_137 @ryokosfjt_238 大歓迎(^_^)女子会再現❔❕楽しみ💘
@ryokosfjt_238 @akari_137 了解(^_^)セットします✌
@Akari_137 @ryokosfjt_238 任されました👌
@Akiko_37 いいなあ(^_^)食べるの手伝いたい😄
バレンタインディナーは根菜玄米ドリア。なぜかワインはブルガリア(^_^)メルローで美味しい http://t.co/iuLYsXk5
@rika369 美味しそう。食べたいよー
@ryokosfjt_238 非日常的な空間ていいよね。美味しいランチを堪能して下さい
@rika369 熟読しました。レンジはダメだね。
@rika369 ヘルシーなメニューで素晴らしい。茎ワカメ、サラダ食べたい(^_^)
アクアラインを眺めながらサイクリング。家をでた時は手が凍りそうでしたが、帰りはポカポカ😁
サイクルスポーツ3月号のパンター似特集に載った😁 http://t.co/CgeKwZwt
これから手づくりパンチェッタのカルボナーラ‼最高 http://t.co/FHPEuP4M
@rika369 素晴らしい！売れるよね。和菓子好きな私に今度作って下さい🙏🙏🙏
金柑のコンフォートと生チョコレート^_^)美味しい http://t.co/cC0WoEtL
一日の終わりにビールが美味しい😄飲むつもりなかったけど、直樹に会って飲んじゃった🍺 http://t.co/ZxhFxL70
今日のバケットは、温かいお風呂の保温効果を利用して発酵した。時間は少し長めだけど省エネ(^_^) http://t.co/yw2bXNhD
@manbow1173 冷たいまま飲めるからいいなあ
今からフェリー🚢乗り、伊江島1周サイクリング🚲
合宿中にバースデー🎁沖縄らしく豆腐ようにロウソクは初💢 http://t.co/Wo9WeoKH
最終日、もずくの天ぷら。始めは油みそで、次は塩にて、泡盛にあいます http://t.co/sMLXqfwx
@akikosingsJazz 美味しそう！！今度教えてね
@RJTKBIKES 家はまだ注文してませんから
おはよう 3月スタート！モリヤン、ヒロシhappy birthday🎁
パーティから電車乗れなくてタクシーで帰宅。ショックと思いきや、用事も済ませ、早く着き、ホワイトdayのチョコまで運ちゃんから頂いた(^_^) モリヤンからは伊勢のお土産、ついてるなあ✌✌✌ http://t.co/Gvw39vA8
@Akari_137 ありがとう(^_^)だんだん素性がわかり、呆れてなければ、いいのですが、今後もよろしくお願いします😄
@Akari_137 了解。またね(^_^)🍸
@charlie310131 嬉しい！会社休んでいく楽しみが倍増
地中海クルーズVTRにしびれました😍😍セレブリティ・シルエット号に乗りローマ、ニース行きたいです(^_^)
おはよう😄今日はひな祭りとひな子おばちゃんの誕生日！おめでとう。
ランチはダイエットメニューの和風ドライカレー。ノンオイルでヘルシー http://t.co/08qqwrIw
今日は沖縄モードで麩と菜の花チャンプル、飲み物はやんばるでしか飲めない【まるた】の水割り
これから映画time.終わり次第、帰ってケーキデモ http://t.co/WYYt7W2T
@rika369 凄く楽しみ。予約とるのが大変そうだなー😄
@rika369 タニタ以上に嬉しいかも(^_^)早く飲んでみたいな
@akikosingsJazz @rika369 日本酒好きにも、伝えたいね
今日のディナーは豆と芽キャベツのトマトスープ、アボガドサラダ、白菜蒸し、赤ワイン、芽キャベツがやわらかくて美味しい http://t.co/vxptTgk0
締めは菜の花と人参パスタ 香り付けはパルミジャーノ。う〜春野菜美味しい！ http://t.co/4ncTkW7P
@rika369 国税庁のホームページの申告書にインプットすると楽チンですよ(^_^)私は今年始めて使ってみました
内房レーシングのPR活動終了
@RJTKBIKES 明日、東京に行くんで夕方モンベルに行きます。
初マリオの店でランチ。美味しいし、シチリアワインしっかりしてて最高 http://t.co/sL6YYSIu
染まってます http://t.co/Rrq2jWYe
@celestegatta me too!!
今日は千葉で、これから出産するメグと前祝。 http://t.co/9DLYgy8f
@itaru0218 フットサルはハードですよ。見たいなあ
今日の終わりに乾杯 http://t.co/mI0c85TL
@akikosingsJazz 家の旦那もみょ〜にご機嫌ですよ（笑）
@kimi483 はいそうです。長崎亭だよ
お土産に頂いた。納豆好きにはたまらない😍😍 http://t.co/82MS7SDS
これからBBQ。30分でカレーカボチャサラダ、青梗菜とほうれん草のペペロンチーノ、人参の塩麹和え、ブロッコリーマヨできました。QC素晴らしい http://t.co/2iUzRyMZ
砂肝とささみの刺身が美味しい^_^ http://t.co/SFmobb6n
@housemegu 禁酒デー作りました。
指に間違えたモカちゃん。居心地よさそう http://t.co/WH0U8VSo
@rika369 @housemegu まだ始めたばかりですが、禁酒の意味なかったりして。
@rika369  わかりました。アルコール量を減らすことだよね。
小雨の中、湘南に向ってます。
あまりの寒さにランチは担々麺 http://t.co/QGiGkvfS
喜んでます。 http://t.co/HqOlMoU9
えのでーん！サーフィン！ドライブ！雨↘ http://t.co/gMMDtyCe
休日の昼下がり。葉山は時間が止まってます。まったり中。 http://t.co/HndEXZYD
@manbow1173 音羽の森のバーです。
@koisikawayumiko いいなあ。私も来年は必ず行こう(^_^)
白子のホイール七輪焼き。ふっくらで美味しいです。 http://t.co/RQJOaIAd
@charlie310131 美しい！！青の洞窟に行きたくなりました。
@housemegu おめでとう。安産で良かった(^_^)
@ichigoaniki ビタミンCをしっかり摂って早く休んでね。
花見です。ぼけですけど。 http://t.co/9d1PJIGG
今夜は花見鍋。桜満開の下で七輪 http://t.co/8PHZiGdS
〆の雑炊、卵入れて蒸らし中、花見で雑炊は初かも‼。
ティファニーで朝食をの映画の中にでてきたカクテルの再現。美味しい(^_^) http://t.co/FzYXa5t4
沈む夕日見ながら飲むカクテルはコスモポリタンスピリット。 http://t.co/AUnqSxjm
香りは甘く、口当たりはスッキリ。音葉の森Ｂarオリジナル。 http://t.co/yaUChYbZ
今日タニタの測定で体内年齢が21歳だった😄😁✌見た目も頑張ろう
@RJTKBIKES 青切符きられる位、レースも走って下さい
@RJTKBIKES 自転車に計測チップがついてないみたい、、、結果はどうでしたか？
@KAMINARI_HAYATO スタジアムでカミナリくんの声聴いてます。
@KAMINARI_HAYATO スタジアム三塁側でカミナリくんの声聴いてます！ごめんねもりあがってて！ http://t.co/nhpbPBdE
@Akari_137 お店の名前はロンロンです。ごめんね、つまらないジョークに付き合ってもらって。
岩手山がきれいに見えてます。目的地は岩手山の麓。。
桜吹雪 http://t.co/Vw3z9ad1
盛岡市内の桜山神社を参拝。今年のおみくじは大吉でした http://t.co/NAXWpD7q
マッシュルームのアヒージヨを作ってみた。簡単で美味しい http://t.co/9AiTlgpb
虹のアーチに感動 http://t.co/CJ5bwZ8T
虹の右側 http://t.co/FMK5ynw8
内房線の事故に巻き込まれ、一時間も電車の中で待たされてます！一本乗り遅れた代償は大きいな〜
@housemegu  FBの写真をみて、陽が若くなったねと言ってます。羨ましい(^_^)
@housemegu アサリが美味しい季節だね。近いうちに会いましょう。
近くに雷が落ちたのか？町の灯が消えてる。
Instagramへの投稿 http://t.co/WWVdHRbw
友人のバースデー  明子の生LIVE！幸せ もつべきものは友達と痛感 http://t.co/eOo5zlzo
友達はyuming熱唱中！さすがプロ！
@RJTKBIKES 何回も聴かされて、知らぬ間に口ずさんでる自分がいますが、ファンではありません！念のため。
@RJTKBIKES 今日池畑さんの両親来てるんで交渉しましょう
@housemegu 今日池畑さんの両親が来てて写真みて"メチャ可愛いなあ"と絶賛でした。
阪神対ロッテ。ラッキー7の攻撃。3点差を追いかける http://t.co/j3V3GQ8L
@ttama おめでとうございます。なんだか内房はハートがいっぱい♥♥♥幸せな人のそばにいるといいよね!(^^)!
初めて乗ったあずさ2号、山ガールがいっぱい🚉
富士山急行列車に乗りました。が富士山がみえない！ http://t.co/WQlFLOqC
@rika369 ありがとうございました。急いで帰ってしまい、挨拶できませんでした。最後まで参加でき、良かったです😄
久しぶりに小ぶりバケット焼きました(^_^) http://t.co/X4e4SbIN
@rika369 ツィート見てたべたくなり作りました。エクセルゼリー、朝から元気いっぱい(^_^) http://t.co/LtmC6ULT
jazzともう一つの楽しみ。この店はワンショット500円にwの至福 http://t.co/qgi3T1nA
BARRELS BAR デビューしました http://t.co/T47m31Fw
かわいい〜！ http://t.co/NAzeOCgo
美女と珍獣パート2か？誘拐犯⁇ http://t.co/Lobkff8a
カヤギサイクルの初心者サイクリングに参加。往復40km暑くなる前に帰宅。ちょうどいい運動になりました。(^_^)
雲の上で房総半島はみえません http://t.co/Bds9S4s6
頂上はあそこ！ http://t.co/TqvWsIy7
八合目到着！かなり足にきてます。 http://t.co/ekBqoOU1
人生初の富士登山‼景色最高 http://t.co/T17jcG1m
@jjscucina 下山で死にました。でも達成感ありです。
@Akari_137 ありがとうございます。どうにか3年(^_^)
@akikosingsJazz @akari_137 本当に明子の歌がパーティのメインだったからね。感謝(^_^)ヘルニアも完治して良かったよ。
最高な香りに圧倒された😁 http://t.co/aPYIa95S
ゴーヤたっぷり長崎ちゃんぽん。夏味 http://t.co/414XmcI5
鈴鹿のプログラム着！去年の成績一覧 http://t.co/C3p0Y4fN
オレンジ、ブルーの中に富士山くっきり。美しい
@taraviolin こちらこそお話できてうれしいです。自転車はサイクリング程度なので一緒に走れるか不安ですが、よろしくお願いいたします。
今夜もせっせとチーズ削りに専念！ボルチーニリゾットにチーズは絶妙✌ http://t.co/mb3itPet
おはよう。パワースポット伊勢神宮にむけて出発。夜明け前のアクアラインは真っ暗
新東名走りやすい！ただしナビは再探索ばかり
こちらも太平洋。対岸に見えるのは知多半島 http://t.co/UVUnRSIE
関宿を探索。お琴の稽古の音色がマッチしてます http://t.co/gMwMTnZy
オープン前、既に満席、行列 http://t.co/PcEIr3F8
ひつまぶしは最高に美味しい http://t.co/SWRTt1FI
鈴鹿サーキットＮow.に囲まれ出陣
鈴鹿サーキットの自転車レース。1時間サイクルマラソン。先頭集団についてます。残り20分
サイクルマラソン2位(^_^)惜しいけど頑張りました http://t.co/dg9YaT0F
フラットバーＢのレース。こちらも残念ながら2位。老体にムチうって走りました。ちなみに1位はダントツ速かった
滋賀を5時半にでて、順調に走ってきたのに、足柄から渋滞
満月が美しい
3歳の男の子からみたらおばちゃんなんだけど、呼ばれると悲しいな。お姉さんは無理だし、やはり名前かな
@komihagahumiga 毎日カレー作るよ(^_^)
お義母さんから私と、明子と、自分の誕生日がみんな水曜日で嬉しい‼と電話がきた。happy wedesday
北海道から届いたトウモロコシ、甘くて美味しい(^_^)過ぎゆく夏を楽しんでます http://t.co/LjTOCrtS
@rika369 昨日お試しに左手に塗ったらジンジンしたあと艶が違いました。進化してますね
@jjscucina ありがとう。ダンナのミポリンは、中井美穂らしい。中山じゃなくて！•••誰やねん！
@RJTKBIKES 『ケツの穴』ってケツメイシのDVDのタイトル！洗脳されてますね〜
@akikosingsJazz happy birthday🎉🎉🌟
@akikosingsJazz ありがとう。😁😁
バースデーディナーはイタリアン http://t.co/z3GvBuBY
渡り蟹の生ノリパスタにむしゃぶり中 http://t.co/N9ikqgbl
@akikosingsJazz 本当に、スタッフがハーフですが、シェフもハーフに見える😄正面にいる方までが、、、異文化交流の中でおいしいひととき🎉
メインがきたけど、もうお腹が、、しかし美味 http://t.co/IhVZCIwl
@housemegu @akikosingsjazz 是非たかちゃんと
@akikosingsJazz 我が家のデザートはいつもコレだよ http://t.co/vvhKfpBp
@RJTKBIKES なんちゃってじゃないイタリアンで頂いてますよ。誕生日なんだし！
晴れた気持ちいい日に結婚式にさんかしました。 http://t.co/PKTSAYe2
今宵のディナーはイカとワカメのパスタ http://t.co/uazl8Whk
@rika369 ハワイ島行きたくなりました。来年は是非🎉
@rika369 お帰りなさい。今度写真見せてください
紫イモでグラタンとケーキを作ってみたら怪しい色になり、食欲より色気😰
今日は十三夜。お団子を頂きます http://t.co/d5pyMiO0
@Akari_137 是非魔女と写真撮りたい^_^
そろそろ飽きたみたいで捨て身！ http://t.co/rheFLM91
次のシューズはこれかな http://t.co/VIjygRY2
飯島さん発見！仕事なか http://t.co/QIlMsoPl
食後酒にたまに飲んでたお酒もなくなり、これからはHOT TEAかな。 http://t.co/8LK62TO4
@yohey_62 @babyboonen 池畑さんも喉やられて就寝中。ガラ声がますます迫力増しつつ✌
@taraviolin おめでとうございます。いつも仲良くて、見習わなければと。あいにくの天気ですが、楽しい1日を
朝焼け http://t.co/aIrWLQhC
下田へ移動中。左側に大島がくっきり見え、プチ感動
@komihagahumiga @rjtkbikes 約束はたしか6月だよね
池畑さんの記事が掲載された。イタリアの自転車コルナゴを愛してよかったです。 http://twitpic.com/3rm9ku
@Akari_137 こちらこそ美味しい料理ご馳走さまでした。雑誌はfunride2月号です。
お友達からダニー井上氏の活躍をきき、惜しい方の冥福を祈ると共にジミー様に期待します
七輪で白子焼、お酒のつまみに最高(^_^) http://t.co/EPT1yl5r
マヤ歴LASTDAY.明日から心の時代。さらにワクワク
今宵は生牡蠣、美味しい http://t.co/42d7fypa
@taraviolin ご心配をおかけしました。一寝したら少し楽になりました。我が家は仏教だからと言われ続けた知恵熱かもしれません(^_^)
@taraviolin 大丈夫ですか？お大事に ゆっくり休んで下さい😴😴😴
@RJTKBIKES 家もワイン何本飲んだか、数えるようにします😰
あけましておめでとうございます。富士山がとても綺麗‼今年もよろしくお願いします。
アクアライ抜けたら雪景色でビックリ😲😲
川崎で雪に埋れてます。マイッタ、マイッタ😰😰
@akikosingsJazz アクアトンネルを出たら、路面に雪がなくてホッとしたよ。無事帰ってきました。川崎は雪国になってました
㊗2ケ月お世話になったギブスが外れました。普通はギブスしてない手より、細くなるのに、私は腫れてるのか太くなってる😰先生は元々ムダなものがないからと言うが⁇これからリハビリに入ります。
@taraviolin ありがとうございます。皿洗いは私の仕事に戻りそうです。
@kon624 はい！でも自分の中では伊豆のクロスカントリーの方が厳しかったので、袖ヶ浦も乗り越えられました。(1周ですが(^_^))ご協力ありがとうございました。
今夜は、ノンアルコールビールで、晩酌！理由は、昨日飲み過ぎたせい(^_^;)結構、いける。名前もいいよね、「Ａll ｆree」
寒いからミルフィーユ鍋、2回目。この鍋の雑炊は、ポン酢もいらないくらい甘くて美味しい😁😁😁白菜の水分だけの雑炊だからかな？
@housemegu きれい！！一番早い花見だね。
雪？あられ？降ってきた
レーススタート http://t.co/atCfglr6
@komihagahumiga @yohey_62 私には何も聞こえませんが・・・通勤用自転車をどうにかしたほうがいいのでは？
パスタ5kgもGET!我が家のシェフに腕磨いていただこう
